Date,adjopen,adjhigh,adjlow,adjclose,amount,amp,body
1999-01-04,47.0625,48.0,44.875,46.75,20027700.0,0.06640106241701851,-0.099999999999968
1999-01-05,46.625,46.875,44.0,44.25,16992000.0,0.061662198391441034,-0.8260869565214518
1999-01-06,44.375,44.875,41.5,42.0,22806000.0,0.07605633802818984,-0.7037037037034952
1999-01-07,42.0,44.75,40.625,42.75,23794650.0,0.09821428571430718,0.18181818181813775
1999-01-08,42.5,45.125,42.375,43.625,16381187.5,0.06470588235296318,0.4090909090907603
1999-01-11,43.125,43.5,42.5,43.125,6822375.0,0.0231884057971241,0.0
1999-01-12,44.125,47.0,44.125,45.0,32121000.0,0.06515580736546028,0.3043478260868506
1999-01-13,44.8125,47.1875,43.75,46.3125,16366837.5,0.07670850767087137,0.4363636363635094
1999-01-14,46.0,50.25,46.0,48.25,33292500.0,0.09239130434784582,0.5294117647057578
1999-01-15,48.375,51.4375,48.375,51.0,39509700.0,0.06330749354007104,0.8571428571425772
1999-01-19,51.625,52.0,47.375,48.5,41836100.0,0.08958837772398857,-0.6756756756755296
1999-01-20,49.125,49.125,47.25,47.75,18264375.0,0.03816793893131729,-0.7333333333329421
1999-01-21,49.375,49.375,45.375,47.3125,54362062.5,0.08101265822786671,-0.5156249999998711
1999-01-22,46.9375,49.625,46.9375,48.125,34568187.5,0.057256990679114626,0.44186046511611465
1999-01-25,47.75,48.125,46.0,46.625,19246800.0,0.04450261780106713,-0.5294117647056332
1999-01-26,46.0,47.75,46.0,47.625,21664612.5,0.038043478260890475,0.9285714285708979
1999-01-27,47.75,48.625,45.25,45.625,18145062.5,0.07068062827227077,-0.629629629629443
1999-01-28,46.0,47.0,45.875,47.0,15044700.0,0.024456521739151645,0.8888888888880987
1999-01-29,47.375,50.5,47.375,50.5,20821150.0,0.06596306068603555,0.9999999999996799
1999-02-01,50.5625,51.0,49.625,51.0,17635800.0,0.02719406674909217,0.31818181818158675
1999-02-02,50.125,50.75,48.875,49.875,10094700.0,0.03740648379054289,-0.13333333333326222
1999-02-03,49.0,49.5,44.875,47.0,25196700.0,0.0943877551020593,-0.4324324324323389
1999-02-04,47.0,48.0,44.3125,45.125,19182637.5,0.07845744680853024,-0.5084745762710485
1999-02-05,45.0,45.25,41.875,42.6875,12225700.0,0.07500000000002055,-0.6851851851849822
1999-02-08,42.75,45.125,42.0,44.125,24370237.5,0.07309941520470005,0.43999999999985917
1999-02-09,44.125,44.875,42.625,43.25,30638300.0,0.050991501416452104,-0.38888888888871603
1999-02-10,43.0,43.0,40.5,41.9375,49884656.25,0.058139534883742836,-0.42499999999982996
1999-02-11,41.875,43.0,41.375,43.0,16615200.0,0.03880597014927668,0.6923076923072662
1999-02-12,43.0,43.0,39.625,41.125,9923462.5,0.07848837209304468,-0.5555555555553909
1999-02-16,41.5,42.875,40.875,41.75,10921800.0,0.048192771084360285,0.1249999999999375
1999-02-17,41.375,42.25,40.25,41.25,21144750.0,0.048338368580083425,-0.06249999999996875
1999-02-18,42.0,43.25,41.375,42.9688,15507439.92,0.04464285714287989,0.5166933333330587
1999-02-19,43.125,46.375,42.25,45.25,29842375.0,0.09565217391306445,0.5151515151513902
1999-02-22,45.25,47.0,44.5,45.875,20735500.0,0.055248618784551264,0.2499999999999
1999-02-23,46.375,46.375,44.125,45.9375,9352875.0,0.04851752021565394,-0.19444444444435802
1999-02-24,46.125,46.125,45.0,45.25,6167575.0,0.02439024390246018,-0.7777777777770863
1999-02-25,45.375,45.375,43.75,45.125,10157637.5,0.03581267217632979,-0.15384615384605915
1999-02-26,44.625,45.125,43.1875,43.3125,13491843.75,0.04341736694680015,-0.67741935483836
1999-03-01,43.125,44.5,42.0,44.375,7503812.5,0.05797101449277547,0.4999999999998
1999-03-02,44.0,46.125,43.5,46.0,14724600.0,0.05965909090911228,0.7619047619044717
1999-03-03,46.9375,49.375,46.75,48.25,57875875.0,0.05592543275634501,0.4999999999998095
1999-03-04,48.25,50.5,48.125,50.125,32455937.5,0.04922279792748085,0.7894736842101939
1999-03-05,50.6875,51.5,50.25,51.5,20512450.0,0.02466091245378003,0.64999999999948
1999-03-08,50.6875,54.25,50.0,52.5,50205750.0,0.08384710234280475,0.42647058823519374
1999-03-09,52.75,54.8125,52.625,54.5,29795150.0,0.04146919431281438,0.7999999999996342
1999-03-10,54.5,55.0,52.625,54.875,46709600.0,0.0435779816513937,0.15789473684203878
1999-03-11,54.875,55.125,54.0625,55.0,22247500.0,0.01936218678817277,0.11764705882341868
1999-03-12,55.125,55.125,51.625,52.1875,26485156.25,0.06349206349208047,-0.8392857142854745
1999-03-15,52.125,52.5625,49.125,49.5,15295500.0,0.06594724220625293,-0.7636363636361415
1999-03-16,50.625,51.125,49.0,49.875,29795325.0,0.04197530864199423,-0.3529411764704221
1999-03-17,49.875,50.875,49.25,50.0,24040000.0,0.03258145363410461,0.07692307692302958
1999-03-18,49.5,50.0,47.9375,49.0,32001900.0,0.041666666666686024,-0.24242424242412489
1999-03-19,48.9375,48.9375,46.0,47.0,26385800.0,0.06002554278418268,-0.6595744680848818
1999-03-22,46.375,48.125,46.375,47.875,6343437.5,0.037735849056624526,0.8571428571423673
1999-03-23,47.125,48.375,46.5,48.125,7141750.0,0.03978779840850844,0.5333333333330489
1999-03-24,48.25,49.0,47.875,49.0,12210800.0,0.023316062176186047,0.666666666666074
1999-03-25,49.0,52.0,48.0,51.75,20405025.0,0.08163265306124323,0.6874999999998281
1999-03-26,51.4375,52.875,50.25,52.0,10342800.0,0.05103280680439269,0.21428571428563264
1999-03-29,52.0,53.0,50.0,51.375,14744625.0,0.05769230769232581,-0.20833333333326387
1999-03-30,50.25,51.25,50.0,50.5625,9682718.75,0.02487562189056667,0.2499999999998
1999-03-31,50.25,51.5,46.5,51.375,22569037.5,0.09950248756220698,0.22499999999995499
1999-04-01,51.625,52.75,50.75,52.625,14750787.5,0.03874092009687092,0.49999999999975
1999-04-05,52.5,55.375,52.375,55.125,40048312.5,0.0571428571428751,0.8749999999997083
1999-04-06,54.25,56.125,53.3125,55.375,14762975.0,0.05184331797236771,0.39999999999985775
1999-04-07,55.625,56.125,52.5,52.8125,22836125.0,0.0651685393258595,-0.7758620689653032
1999-04-08,53.125,54.875,52.125,53.875,16959850.0,0.05176470588237079,0.27272727272717356
1999-04-09,53.75,57.875,53.0,57.5,31452500.0,0.09069767441862156,0.7692307692306114
1999-04-12,56.25,59.125,55.6875,57.5,57287250.0,0.061111111111127804,0.36363636363625784
1999-04-13,57.375,57.875,56.5,56.625,15753075.0,0.02396514161221745,-0.5454545454541487
1999-04-14,56.125,56.75,52.0,52.5,14133000.0,0.0846325167038025,-0.7631578947366814
1999-04-15,53.125,53.625,49.5,49.875,15376462.5,0.07764705882354678,-0.7878787878785969
1999-04-16,49.5625,50.125,48.25,49.125,25196212.5,0.03783102143759823,-0.23333333333320888
1999-04-19,49.125,49.5,42.5,42.75,20973150.0,0.14249363867686224,-0.9107142857141556
1999-04-20,44.0,55.125,43.75,54.5,65160200.0,0.2585227272727441,0.923076923076842
