Date,adjopen,adjhigh,adjlow,adjclose,amount,amp,body
1999-03-30,81.0,85.0,62.0,69.0,906432300.0,0.28395061728395943,-0.52173913043476
1999-03-31,75.25,86.25,73.0,82.875,657828600.0,0.17607973421928005,0.5754716981131641
1999-04-01,91.75,92.0,79.25,80.5,233401700.0,0.13896457765668516,-0.8823529411764014
1999-04-05,83.5,84.0,72.5,75.125,146456187.5,0.13772455089821392,-0.728260869565154
1999-04-06,75.375,80.6875,70.0,79.0,167748600.0,0.1417910447761308,0.3391812865496759
1999-04-07,80.125,81.25,73.75,74.5,70007650.0,0.0936037441497773,-0.7499999999999
1999-04-08,74.5,75.125,70.625,72.5,64278500.0,0.06040268456377101,-0.44444444444434567
1999-04-09,72.0,76.0,67.75,74.0,63018400.0,0.11458333333334564,0.24242424242421304
1999-04-12,70.125,79.25,69.0,76.5625,83989062.5,0.146167557932276,0.6280487804877436
1999-04-13,78.75,85.875,77.25,81.5,117376300.0,0.10952380952382083,0.31884057971010793
1999-04-14,92.375,99.25,85.0,91.4375,344499925.0,0.15426251691475884,-0.06578947368420592
1999-04-15,94.0,94.0,76.5,79.875,162521662.5,0.1861702127659661,-0.8071428571428111
1999-04-16,81.0,85.0,73.0,81.375,86265637.5,0.1481481481481587,0.031249999999997394
1999-04-19,81.75,82.0,59.0,59.875,82172450.0,0.28134556574924424,-0.9510869565216978
1999-04-20,59.875,69.0,58.0,67.625,107158575.0,0.18371607515658983,0.7045454545453905
1999-04-21,71.5,76.0,67.625,74.5,67266050.0,0.11713286713287949,0.35820895522383783
1999-04-22,81.0625,81.75,73.5,76.375,66759387.5,0.10177332305321078,-0.5681818181817493
1999-04-23,86.0625,95.75,82.0,88.0,391652800.0,0.15976761074801268,0.14090909090908066
1999-04-26,104.4375,121.4375,100.75,120.75,979789650.0,0.1980849790544661,0.7885196374621976
1999-04-27,123.125,140.0,120.125,129.6875,931221093.75,0.16142131979696112,0.33018867924526646
1999-04-28,124.9375,134.4375,116.0,121.0,325877200.0,0.14757378689345355,-0.21355932203388675
1999-04-29,115.0625,138.875,115.0,137.8125,596921062.5,0.2074959261271117,0.9528795811517926
1999-04-30,151.5,165.0,135.0,162.375,823695900.0,0.1980198019802033,0.36249999999998794
1999-05-03,152.4375,158.875,138.875,139.25,729656075.0,0.13120131201312582,-0.6593749999999671
1999-05-04,142.625,150.0,130.625,134.0,556971000.0,0.13584574934268792,-0.4451612903225577
1999-05-05,141.1875,152.0,120.125,151.1875,1146636237.5,0.22576361221780097,0.3137254901960686
1999-05-06,148.0,152.0,137.875,139.4375,528816718.75,0.0954391891891953,-0.6061946902654438
1999-05-07,144.25,144.3125,129.625,130.6563,446596299.03,0.10181975736569081,-0.9255285106382357
1999-05-10,128.0,131.875,121.0,128.0,344960000.0,0.08496093750000715,0.0
1999-05-11,134.5,134.75,123.0,123.0,211412400.0,0.08736059479554582,-0.9787234042552359
1999-05-12,122.75,129.0,122.0,126.0,181830600.0,0.05702647657841909,0.46428571428564797
1999-05-13,129.875,132.0,121.0,121.5,136444500.0,0.08469682386911195,-0.7613636363635672
1999-05-14,120.0,134.5,119.0,132.8125,631603125.0,0.12916666666667392,0.8266129032257531
1999-05-17,131.5,132.3125,124.0,131.75,269876700.0,0.06321292775666112,0.030075187969921195
1999-05-18,131.25,139.75,127.6875,136.125,341823487.5,0.09190476190476883,0.4041450777201738
1999-05-19,136.75,144.25,134.75,142.5,193728750.0,0.06946983546618597,0.6052631578946731
1999-05-20,144.9375,145.0,131.125,134.375,140610000.0,0.09573091849935941,-0.7612612612612064
1999-05-21,145.3125,145.75,137.0,138.9375,461619843.75,0.06021505376344733,-0.7285714285713453
1999-05-24,138.25,138.875,121.125,125.3438,236598956.88,0.12839059674503342,-0.7271098591548886
1999-05-25,121.0,129.375,103.0,104.0,337334400.0,0.2179752066115767,-0.6445497630331509
1999-05-26,108.5,115.0,97.0,113.7813,471805538.58,0.16589861751152843,0.2934055555555394
1999-05-27,112.75,117.0,109.0625,110.8125,181920881.25,0.07039911308204816,-0.24409448818894564
1999-05-28,107.0,112.25,106.0,112.0313,130964589.7,0.05841121495327983,0.8050079999998715
1999-06-01,109.625,110.5,97.5,99.4375,211195306.25,0.11858608893957476,-0.7836538461537859
1999-06-02,96.25,105.6875,89.125,92.9063,416991346.29,0.17207792207793068,-0.2018837735848934
1999-06-03,93.375,95.875,84.0,84.125,226355137.5,0.1271753681392329,-0.778947368420987
1999-06-04,84.5,92.25,83.375,90.3125,233990656.25,0.10502958579882717,0.6549295774647149
1999-06-07,92.5,109.5,91.625,101.5,449553650.0,0.19324324324325196,0.5034965034964753
1999-06-08,104.875,111.0,101.625,104.25,350446800.0,0.08939213349226137,-0.06666666666665956
1999-06-09,106.625,108.875,102.875,105.0,141613500.0,0.056271981242681776,-0.2708333333332882
1999-06-10,100.6875,104.125,100.0,102.25,178242200.0,0.040968342644329823,0.37878787878778697
1999-06-11,104.0,106.25,95.0,95.6875,154076012.5,0.1081730769230855,-0.7388888888888232
1999-06-14,94.0,94.0,76.5,76.875,246453562.5,0.1861702127659661,-0.9785714285713727
1999-06-15,76.125,84.3125,74.75,78.4375,256121968.75,0.12561576354680953,0.24183006535945184
1999-06-16,85.0,90.0,83.75,88.5,277252800.0,0.07352941176471679,0.5599999999999103
1999-06-17,87.5,95.0,83.6875,88.9375,234288056.25,0.12928571428572425,0.12707182320440866
1999-06-18,91.375,95.1875,91.0,94.0,145399200.0,0.04582763337894342,0.6268656716416413
1999-06-21,95.75,109.25,95.25,106.3125,309241800.0,0.1462140992167191,0.7544642857142319
1999-06-22,109.0625,119.4375,105.75,108.75,499956375.0,0.12550143266476446,-0.022831050228308836
1999-06-23,104.0,113.9375,104.0,110.875,289716375.0,0.09555288461539332,0.6918238993709995
1999-06-24,108.25,109.5,102.0,102.0,192239400.0,0.06928406466513562,-0.8333333333332222
1999-06-25,105.4375,107.375,95.5,95.75,218558950.0,0.11262596324837831,-0.8157894736841418
1999-06-28,99.0,105.625,92.0,105.5,281336850.0,0.13762626262627134,0.47706422018345124
1999-06-29,103.125,111.0,102.4375,107.5,247991750.0,0.08303030303031193,0.5109489051094294
