Date,adjopen,adjhigh,adjlow,adjclose,amount,amp,body
1999-01-04,217.3125,217.3125,210.0,214.5,152295000.0,0.03364969801553508,-0.384615384615332
1999-01-05,212.625,220.125,212.25,218.625,103919750.0,0.037037037037041566,0.7619047619046652
1999-01-06,220.5,227.25,220.5,226.875,147385562.5,0.030612244897963582,0.9444444444443045
1999-01-07,225.75,227.25,220.5,225.375,129560575.0,0.029900332225917918,-0.05555555555554732
1999-01-08,225.75,226.125,217.5,221.0625,227429100.0,0.038205980066449444,-0.5434782608695022
1999-01-11,220.3125,220.5,216.0,217.5,75073750.0,0.020425531914898064,-0.6249999999998611
1999-01-12,215.8125,219.1875,214.6875,216.9375,154922300.0,0.020851433536060143,0.24999999999994443
1999-01-13,210.0,219.0,207.75,219.0,106025200.0,0.05357142857143308,0.7999999999999289
1999-01-14,219.75,219.75,209.625,217.3125,115030750.0,0.046075085324236424,-0.24074074074071697
1999-01-15,219.75,223.125,214.5,222.9375,101860143.75,0.03924914675768355,0.36956521739126147
1999-01-19,223.5,225.1875,217.5,224.625,104151125.0,0.03439597315436674,0.1463414634146151
1999-01-20,224.4375,226.875,219.75,222.75,120396375.0,0.03174603174603606,-0.23684210526312466
1999-01-21,221.25,225.5625,214.125,216.375,131238650.0,0.05169491525424157,-0.42622950819668404
1999-01-22,212.25,217.5,207.75,214.875,67621162.5,0.04593639575972181,0.26923076923074163
1999-01-25,215.4375,215.8125,212.625,213.75,61617000.0,0.01479547432550501,-0.5294117647057163
1999-01-26,213.375,223.875,213.375,221.0625,122004393.75,0.04920913884007476,0.7321428571427874
1999-01-27,224.25,235.3125,224.0625,231.1875,183878831.25,0.05016722408027179,0.6166666666666119
1999-01-28,233.25,245.25,229.5,244.5,208126550.0,0.06752411575563101,0.7142857142856689
1999-01-29,246.5625,249.9375,240.375,248.625,201709462.5,0.03878326996198109,0.21568627450978137
1999-02-01,249.375,249.375,237.0,238.40640000000002,192537008.64000002,0.049624060150379755,-0.886351515151442
1999-02-02,238.5,241.5,230.25,232.6875,172018112.5,0.04716981132075871,-0.5166666666666208
1999-02-03,234.75,237.0,232.5,236.4375,188661362.5,0.019169329073486608,0.3749999999999167
1999-02-04,238.3125,239.625,231.375,231.75,171533625.0,0.03461841070024008,-0.795454545454449
1999-02-05,231.5625,234.0,229.5,230.8125,122876881.25,0.01943319838057104,-0.16666666666662963
1999-02-08,233.25,234.0,227.0625,231.375,92580850.0,0.029742765273316058,-0.2702702702702313
1999-02-09,230.625,231.1875,220.3125,221.4375,114689862.5,0.04715447154471958,-0.8448275862068189
1999-02-10,220.875,231.0,220.5,230.4375,125127562.5,0.04753820033956289,0.910714285714199
1999-02-11,231.75,243.375,228.0,243.375,154924412.5,0.06634304207120144,0.7560975609755606
1999-02-12,240.9375,241.125,230.25,234.75,176375500.0,0.04513618677043198,-0.5689655172413269
1999-02-16,236.625,247.125,236.4375,245.8125,222271856.25,0.045166402535661725,0.8596491228069371
1999-02-17,244.125,247.875,239.25,244.6875,147774937.5,0.0353302611367167,0.06521739130434026
1999-02-18,244.6875,256.125,242.25,251.4375,167499281.25,0.05670498084291573,0.48648648648645143
1999-02-19,252.75,253.3125,243.0,244.875,131930487.5,0.040801186943623974,-0.7636363636362896
1999-02-22,245.25,248.25,243.75,246.0,104345000.0,0.018348623853215014,0.16666666666662963
1999-02-23,246.75,253.875,241.5,252.75,121817075.0,0.05015197568389443,0.48484848484844567
1999-02-24,252.375,258.0,249.75,249.75,161180325.0,0.03268945022288645,-0.3181818181817796
1999-02-25,249.75,249.75,240.0,243.375,112033625.0,0.039039039039042885,-0.6538461538460868
1999-02-26,244.3125,247.875,236.25,240.9375,105795656.25,0.047582501918653174,-0.29032258064513633
1999-03-01,241.875,253.3125,241.125,253.125,127406250.0,0.05038759689922873,0.9230769230768473
1999-03-02,253.875,255.75,243.1875,246.9375,175004606.25,0.049483013293947616,-0.5522388059701053
1999-03-03,247.5,251.0625,244.875,250.875,305365050.0,0.02500000000000394,0.5454545454544573
1999-03-04,252.75,260.25,251.25,260.25,387685750.0,0.035608308605345064,0.8333333333332408
1999-03-05,264.75,272.4375,255.0,271.6875,273118387.5,0.06586402266289304,0.3978494623655686
1999-03-08,269.8125,271.125,260.4375,270.75,288294600.0,0.03961084086171308,0.08771929824560583
1999-03-09,268.125,274.6875,267.9375,271.5,163687350.0,0.02517482517482881,0.4999999999999259
1999-03-10,272.625,274.5,269.0625,271.875,149377187.5,0.019944979367266316,-0.13793103448273325
1999-03-11,271.875,279.75,269.625,271.5,219498700.0,0.03724137931034836,-0.03703703703703338
1999-03-12,272.25,273.375,263.25,265.6875,194492106.25,0.03719008264463163,-0.6481481481480841
1999-03-15,266.8125,274.5,264.375,273.375,153791662.5,0.03794799718904085,0.6481481481480841
1999-03-16,272.8125,273.0,266.25,268.875,100415850.0,0.024742268041240686,-0.5833333333332469
1999-03-17,267.75,273.0,266.25,271.6875,92736000.0,0.025210084033617085,0.5833333333332469
1999-03-18,271.5,274.125,267.75,273.5625,67907331.25,0.023480662983429008,0.3235294117646551
1999-03-19,274.875,275.625,263.625,263.8125,210724631.25,0.04365620736698847,-0.9218749999999232
1999-03-22,264.375,270.0,258.1875,267.0,140486500.0,0.0446808510638334,0.22222222222220342
1999-03-23,266.8125,271.125,260.625,265.3125,145488531.25,0.039353478566412595,-0.14285714285712925
1999-03-24,264.75,268.5,257.625,264.0,174847200.0,0.041076487252128265,-0.06896551724137297
1999-03-25,264.0,271.875,263.8125,271.6875,114860418.75,0.0305397727272764,0.9534883720929049
1999-03-26,270.375,274.875,268.5,273.0,130876200.0,0.023578363384192235,0.41176470588228836
1999-03-29,274.125,277.5,273.0,275.4375,104262275.0,0.016415868673054203,0.29166666666660185
1999-03-30,273.1875,274.125,270.0,270.0,147942000.0,0.015099519560744854,-0.7727272727270854
1999-03-31,271.875,279.75,271.6875,274.6875,151032343.75,0.02965517241379667,0.3488372093022823
1999-04-01,275.8125,277.875,267.0,269.8125,168731743.75,0.03942895989123393,-0.5517241379309837
1999-04-05,269.8125,272.0625,268.125,270.75,132676525.0,0.014593467685896632,0.23809523809517763
1999-04-06,271.5,280.875,269.625,277.5,187432750.0,0.04143646408840132,0.5333333333332859
1999-04-07,280.5,281.25,267.5625,272.625,228050812.5,0.048796791443853654,-0.5753424657533827
1999-04-08,275.0625,275.625,265.5,267.9375,209402087.5,0.036809815950923745,-0.7037037037036342
1999-04-09,268.125,271.3125,266.4375,269.625,124494850.0,0.01818181818182184,0.3076923076922446
1999-04-12,268.875,270.1875,265.5,269.4375,147696656.25,0.017433751743378828,0.11999999999997439
1999-04-13,269.625,269.625,264.9843,266.4375,115598350.0,0.01721168289291039,-0.6868575861398768
1999-04-14,266.25,267.75,257.625,258.0,256830400.0,0.03802816901408812,-0.8148148148147343
1999-04-15,258.9375,259.875,246.5625,249.75,364443525.0,0.05141202027516659,-0.6901408450703707
1999-04-16,250.875,250.875,241.125,245.0625,227238287.5,0.03886397608371086,-0.596153846153785
1999-04-19,246.0,247.875,229.3125,234.0,271486800.0,0.07545731707317449,-0.6464646464646117
1999-04-20,235.125,251.625,234.375,246.75,215832225.0,0.07336523125997203,0.6739130434782219
1999-04-21,248.25,258.75,246.75,252.375,176906462.5,0.04833836858006426,0.34374999999997136
1999-04-22,252.75,261.9375,252.5625,260.8125,231523256.25,0.03709198813056761,0.8599999999999083
1999-04-23,260.4375,264.0,253.875,261.375,130783337.5,0.03887688984881578,0.09259259259258344
1999-04-26,262.875,267.0,259.3125,267.0,100267400.0,0.029243937232528654,0.5365853658535887
1999-04-27,267.75,270.0,262.125,263.25,150052500.0,0.029411764705885975,-0.5714285714284989
1999-04-28,263.625,266.0625,256.5,256.6875,155740862.5,0.0362731152204873,-0.7254901960783555
1999-04-29,257.25,257.8125,242.25,243.375,213642687.5,0.06049562682216108,-0.8915662650601837
1999-04-30,247.3125,247.875,239.0625,242.8125,219632000.0,0.0356330553449622,-0.5106382978722824
1999-05-03,242.8125,252.75,240.75,252.75,173748775.0,0.049420849420853334,0.8281249999999309
1999-05-04,252.75,259.6875,247.5,247.5,157203750.0,0.048219584569736705,-0.43076923076919543
1999-05-05,249.0,249.375,236.25,245.625,438096750.0,0.05271084337349778,-0.2571428571428375
1999-05-06,244.6875,247.875,233.625,237.5625,278573706.25,0.05823754789272416,-0.4999999999999649
1999-05-07,243.0,246.0,231.375,236.8125,356852756.25,0.060185185185189054,-0.42307692307689415
1999-05-10,237.375,243.75,232.5,243.0,174287700.0,0.04739336492891397,0.49999999999995554
1999-05-11,245.8125,250.875,243.0,247.125,214347987.5,0.032036613272315155,0.1666666666666455
1999-05-12,248.25,248.25,241.875,243.9375,143833681.25,0.025679758308161025,-0.676470588235188
1999-05-13,244.875,253.3125,244.6875,249.9375,161051393.75,0.03522205206738526,0.5869565217390624
1999-05-14,249.0,251.625,241.875,243.375,133937375.0,0.039156626506027956,-0.5769230769230177
1999-05-17,237.75,238.875,234.0,237.0,167179800.0,0.020504731861202857,-0.1538461538461223
1999-05-18,237.75,238.125,231.375,232.6875,188663025.0,0.02839116719243311,-0.7499999999998889
1999-05-19,232.875,234.0,227.0625,230.25,164352450.0,0.029790660225447,-0.37837837837832383
1999-05-20,231.0,235.875,227.625,229.5,76943700.0,0.03571428571428989,-0.18181818181815979
1999-05-21,230.4375,232.125,224.25,225.0,134227500.0,0.03417412530513031,-0.6904761904761028
1999-05-24,225.75,236.8125,220.875,233.25,226858950.0,0.07059800664452238,0.4705882352940881
1999-05-25,231.5625,235.5,221.8125,222.1875,136400906.25,0.05910931174089475,-0.6849315068492651
1999-05-26,222.1875,222.375,214.125,220.5,170130450.0,0.03713080168776805,-0.20454545454542974
1999-05-27,223.5,231.75,211.875,213.375,469951325.0,0.08892617449664837,-0.5094339622641254
1999-05-28,215.25,220.3125,213.375,217.5,290862750.0,0.03222996515679892,0.32432432432427755
1999-06-01,218.625,223.875,216.0,218.0625,146269056.25,0.03602058319039892,-0.07142857142856236
1999-06-02,218.625,224.4375,213.75,223.3125,86913225.0,0.04888507718696833,0.43859649122802913
1999-06-03,220.875,228.75,218.625,220.125,125177750.0,0.04584040747029294,-0.07407407407406676
1999-06-04,220.875,231.375,220.875,230.625,115274062.5,0.04753820033956289,0.9285714285713401
1999-06-07,230.8125,230.8125,227.4375,229.125,93727400.0,0.014622258326568039,-0.49999999999985184
1999-06-08,228.1875,228.1875,225.1875,226.125,86583262.5,0.013147082990965706,-0.6874999999997708
1999-06-09,225.9375,226.3125,221.625,224.625,89894925.0,0.020746887966809315,-0.27999999999994024
1999-06-10,224.0625,225.75,217.5,221.8125,112436756.25,0.036820083682012665,-0.2727272727272397
1999-06-11,222.375,223.6875,216.0,217.5,78880000.0,0.03456998313659793,-0.6341463414633322
1999-06-14,217.875,220.3125,211.875,215.25,90304550.0,0.03872633390706121,-0.31111111111107426
1999-06-15,214.3125,217.875,212.4375,214.3125,111942562.5,0.02537182852143937,0.0
1999-06-16,215.625,229.875,215.25,229.40640000000002,188296773.12,0.06782608695652606,0.9423179487178855
1999-06-17,228.75,233.625,227.0625,227.625,138578100.0,0.02868852459016818,-0.1714285714285453
1999-06-18,222.75,225.75,221.4375,222.9375,185253631.25,0.019360269360273765,0.043478260869555134
1999-06-21,222.375,232.125,222.0,231.1875,92906550.0,0.04553119730185927,0.8703703703702844
1999-06-22,228.9375,231.0,223.125,227.25,110761650.0,0.03439803439803862,-0.21428571428568707
1999-06-23,226.5,227.625,219.0,222.375,123077150.0,0.038079470198679743,-0.47826086956516195
1999-06-24,222.75,222.75,218.25,218.25,91897800.0,0.020202020202024603,-0.9999999999997777
1999-06-25,219.75,223.5,218.625,219.9375,64287731.25,0.02218430034130138,0.038461538461530574
1999-06-28,219.75,229.875,219.375,229.6875,139045156.25,0.04778156996587464,0.9464285714284812
1999-06-29,229.875,237.375,225.375,237.375,155314462.5,0.05220228384992256,0.6249999999999479
1999-06-30,236.25,240.5625,230.25,240.1875,219171093.75,0.0436507936507977,0.3818181818181448
1999-07-01,238.125,245.0625,235.875,244.875,188741487.5,0.03858267716535837,0.7346938775509404
1999-07-02,245.0625,247.125,241.125,245.4375,80429868.75,0.024483550114770623,0.062499999999989585
1999-07-06,245.625,251.0625,242.625,244.125,158184862.5,0.03435114503817187,-0.17777777777775672
1999-07-07,244.125,248.25,240.75,247.3125,132510037.5,0.030721966205841146,0.4249999999999433
1999-07-08,249.375,259.875,249.0,259.6875,282522687.5,0.043609022556394816,0.9482758620688783
1999-07-09,260.25,260.625,255.0,257.8125,87991406.25,0.021613832853029695,-0.4333333333332563
1999-07-12,258.375,258.375,252.1875,253.6875,98735175.0,0.023947750362848477,-0.7575757575756351
1999-07-13,252.0,254.8125,250.125,251.625,105925737.5,0.018601190476194372,-0.07999999999998293
1999-07-14,252.75,253.5,249.0,252.1875,85550406.25,0.01780415430267451,-0.12499999999997222
1999-07-15,253.125,257.4375,249.0,252.0,134148000.0,0.033333333333337156,-0.13333333333331754
1999-07-16,252.75,258.0,251.625,256.875,81934562.5,0.02522255192878724,0.6470588235293102
1999-07-19,257.625,261.375,256.6875,257.625,74986050.0,0.01819505094614646,0.0
1999-07-20,257.0625,257.25,246.0,246.5625,106728687.5,0.04376367614880022,-0.9333333333332504
1999-07-21,247.125,249.75,238.5,240.0,129792000.0,0.04552352048558808,-0.633333333333277
1999-07-22,239.625,240.75,231.75,233.8125,150902587.5,0.03755868544601341,-0.6458333333332615
1999-07-23,235.3125,236.8125,229.6875,231.1875,103679887.5,0.030278884462155518,-0.5789473684209714
1999-07-26,230.25,233.8125,228.5625,231.0,103549600.0,0.022801302931600338,0.14285714285711565
1999-07-27,233.8125,235.125,230.25,231.1875,117682143.75,0.02085004009623514,-0.538461538461428
1999-07-28,232.5,232.5,229.125,230.625,93118687.5,0.014516129032262303,-0.5555555555553909
1999-07-29,230.625,231.0,221.625,223.3125,199194750.0,0.0406504065040692,-0.7799999999999168
1999-07-30,225.375,227.25,218.8125,224.25,230521525.0,0.037437603993348695,-0.13333333333331754
1999-08-02,225.0,230.25,217.875,221.0625,143572725.0,0.0550000000000042,-0.3181818181817925
1999-08-03,224.25,224.625,218.0625,220.875,119169425.0,0.029264214046827074,-0.514285714285636
1999-08-04,221.625,226.3125,219.1875,219.28140000000002,175563998.22,0.032148900169209106,-0.32892631578942483
1999-08-05,220.125,221.25,215.625,221.25,229775500.0,0.0255536626916569,0.19999999999996443
1999-08-06,219.5625,222.375,214.5,215.25,103513725.0,0.03586678052946639,-0.5476190476189781
1999-08-09,215.8125,216.0,213.0,215.0625,171053543.75,0.013900955690708306,-0.24999999999991665
1999-08-10,214.875,218.25,214.5,216.375,246638650.0,0.017452006980807365,0.39999999999989333
1999-08-11,219.0,226.125,217.5,225.75,122206000.0,0.03938356164384001,0.7826086956520831
1999-08-12,228.375,230.625,223.875,225.0,233160000.0,0.02955665024630967,-0.4999999999999259
1999-08-13,228.375,228.75,224.0625,224.4375,115682568.75,0.02052545155993861,-0.8399999999998208
1999-08-16,225.0,228.375,223.5,227.0625,91990587.5,0.021666666666671015,0.4230769230768363
1999-08-17,228.75,237.0,228.0,237.0,167306200.0,0.03934426229508617,0.9166666666665648
1999-08-18,237.0,240.75,235.5,236.0625,156729762.5,0.02215189873418134,-0.17857142857139455
1999-08-19,235.5,235.5,229.875,230.4375,78072225.0,0.02388535031847548,-0.89999999999984
1999-08-20,231.375,235.875,229.875,235.5,99333900.0,0.02593192868720032,0.6874999999998854
1999-08-23,235.5,241.125,234.75,240.1875,76203487.5,0.02707006369427165,0.7352941176469435
1999-08-24,238.6875,245.0625,236.625,244.3125,117204850.0,0.0353495679497291,0.6666666666665877
1999-08-25,242.25,242.25,228.75,235.5,260306000.0,0.05572755417957046,-0.499999999999963
1999-08-26,235.5,240.0,232.5,235.5,127900050.0,0.0318471337579659,0.0
1999-08-27,235.125,236.25,228.75,231.1875,92343993.75,0.03189792663477286,-0.52499999999993
1999-08-30,230.25,232.125,226.875,228.1875,74602100.0,0.022801302931600338,-0.392857142857068
1999-08-31,227.625,229.5,219.75,224.25,148827250.0,0.042833607907747207,-0.3461538461538107
1999-09-01,224.625,225.0,220.125,221.4375,156142962.5,0.021702838063443423,-0.6538461538460197
1999-09-02,219.75,219.75,212.8125,216.375,240601787.5,0.03156996587031158,-0.48648648648641635
1999-09-03,218.625,222.375,217.875,222.1875,160108312.5,0.02058319039451563,0.7916666666664908
1999-09-07,222.0,224.8125,217.5,217.875,86692462.5,0.03293918918919354,-0.5641025641024869
1999-09-08,217.5,217.875,213.375,215.8125,149198375.0,0.020689655172418296,-0.3749999999999167
1999-09-09,216.46890000000002,216.75,213.0,214.6875,103279000.0,0.017323504669728457,-0.47503999999987845
1999-09-10,216.0,216.375,209.25,209.625,324310837.5,0.03298611111111559,-0.8947368421051376
1999-09-13,208.5,208.875,205.5,206.4375,200340712.5,0.01618705035971695,-0.61111111111093
1999-09-14,204.75,204.9375,196.125,202.6875,313888618.75,0.04304029304029772,-0.2340425531914628
1999-09-15,205.3125,208.125,201.0,201.1875,241250637.5,0.03470319634703667,-0.5789473684209714
1999-09-16,202.3125,204.1875,196.5,200.0625,143258087.5,0.03799814643188613,-0.2926829268292302
1999-09-17,200.8125,204.0,197.8125,202.5,241056000.0,0.030812324929976816,0.27272727272722863
1999-09-20,201.0,201.75,197.25,198.375,196616075.0,0.022388059701497404,-0.5833333333332037
1999-09-21,198.0,200.625,197.25,200.25,430130325.0,0.017045454545459512,0.6666666666664691
1999-09-22,200.625,206.0625,197.25,205.3125,272237531.25,0.04392523364486458,0.5319148936169609
1999-09-23,207.0,214.5,207.0,210.9375,391689843.75,0.03623188405797567,0.52499999999993
1999-09-24,210.375,222.0,208.5,216.9375,417850550.0,0.06417112299465685,0.4861111111110751
1999-09-27,219.0,220.875,216.375,217.3125,131343675.0,0.020547945205483927,-0.3749999999999167
1999-09-28,215.0625,220.3125,213.9375,217.3125,138355625.0,0.029642545771582544,0.35294117647053286
1999-09-29,217.3125,218.25,211.125,211.125,175627850.0,0.03278688524590609,-0.8684210526314571
1999-09-30,212.8125,216.9375,209.625,216.0,214840800.0,0.03436123348018075,0.4358974358973763
1999-10-01,216.0,221.4375,211.5,219.0,381760800.0,0.04600694444444886,0.3018867924527998
1999-10-04,219.75,231.75,219.5625,231.75,368103975.0,0.05546075085324662,0.9846153846153038
1999-10-05,233.625,241.3125,233.25,237.9375,352900968.75,0.03451043338684202,0.5348837209301662
1999-10-06,237.5625,237.5625,233.8125,236.25,303329250.0,0.01578531965272711,-0.34999999999990666
1999-10-07,237.375,241.875,232.5,234.375,162796875.0,0.03949447077409567,-0.31999999999996587
1999-10-08,234.5625,248.25,233.625,247.78140000000002,229701617.18,0.062350119904080736,0.9038564102563498
1999-10-11,245.8125,253.125,242.25,251.8125,189581237.5,0.04424103737605271,0.5517241379309837
1999-10-12,251.8125,251.8125,237.70319999999998,242.25,184376475.0,0.05603097542814977,-0.6777444664157194
1999-10-13,240.0,240.375,228.75,231.5625,250102937.5,0.048437500000003963,-0.7258064516128407
1999-10-14,233.0625,238.125,227.625,236.8125,173031000.0,0.04505229283990756,0.3571428571428231
1999-10-15,233.625,233.625,221.4375,223.5,220356100.0,0.05216693418941016,-0.8307692307691626
1999-10-18,225.0,225.0,219.0,221.8125,141250200.0,0.026666666666670995,-0.5312499999999114
1999-10-19,224.25,226.5,222.5625,222.9375,182719575.0,0.017558528428098026,-0.33333333333324866
1999-10-20,224.625,227.625,223.5,227.625,111483137.5,0.018363939899837426,0.727272727272551
1999-10-21,226.125,226.125,220.125,220.5,202279350.0,0.02653399668325472,-0.9374999999998438
1999-10-22,223.125,226.875,222.0,223.6875,195748931.25,0.021848739495802703,0.11538461538459172
1999-10-25,223.5,223.5,219.0,222.0,149946200.0,0.020134228187923847,-0.33333333333325926
1999-10-26,223.6875,223.6875,215.625,216.0,265248000.0,0.03604358759430439,-0.9534883720929049
1999-10-27,216.46890000000002,216.5625,211.6875,216.0,196221600.0,0.022520556070645608,-0.09618461538459959
1999-10-28,218.625,235.125,217.875,234.9375,208969075.0,0.07890222984563028,0.9456521739129887
1999-10-29,237.375,247.5,237.0,240.9375,271078781.25,0.04423380726698665,0.339285714285682
1999-11-01,240.0,244.125,235.5,235.6875,172138293.75,0.035937500000004015,-0.49999999999994205
1999-11-02,238.5,245.625,238.125,241.6875,165169237.5,0.031446540880507204,0.4249999999999433
1999-11-03,242.8125,250.875,242.25,243.9375,190661550.0,0.035521235521239494,0.13043478260868052
1999-11-04,247.6875,251.8125,243.375,244.125,261815925.0,0.03406510219531049,-0.42222222222217215
1999-11-05,246.75,256.875,246.75,256.5,221487750.0,0.04103343465045981,0.9629629629628679
1999-11-08,253.5,259.5,250.875,259.5,155630800.0,0.034023668639057064,0.6956521739129629
1999-11-09,257.8125,258.0,252.375,255.75,220601425.0,0.021818181818185612,-0.36666666666660147
1999-11-10,255.5625,260.625,249.0,255.5625,205455212.5,0.045487894350700726,0.0
1999-11-11,255.5625,268.5,255.375,268.5,298759950.0,0.05135730007337128,0.9857142857142106
1999-11-12,270.0,271.875,266.25,266.625,342702000.0,0.020833333333336958,-0.5999999999998933
1999-11-15,266.0625,267.0,260.25,261.75,144686675.0,0.02536997885835461,-0.6388888888887942
1999-11-16,263.25,264.0,258.9375,261.1875,147570937.5,0.019230769230772955,-0.40740740740732695
1999-11-17,260.4375,262.125,255.75,258.1875,137226656.25,0.02447804175666321,-0.35294117647053286
1999-11-18,258.1875,258.1875,255.0,258.0,101273600.0,0.012345679012349503,-0.05882352941174625
1999-11-19,256.875,257.0625,251.4375,256.125,106974875.0,0.02189781021898191,-0.13333333333330963
1999-11-22,256.3125,256.5,248.25,248.4375,115780156.25,0.032187271397223965,-0.9545454545453388
1999-11-23,250.125,262.125,249.75,257.0625,219668475.0,0.04947526236881939,0.5606060606060153
1999-11-24,256.5,262.5,255.9375,261.375,95663250.0,0.025584795321641225,0.7428571428570296
1999-11-26,261.375,266.8125,261.0,265.5,53551350.0,0.022238163558109907,0.7096774193547166
1999-11-29,265.6875,277.5,265.5,276.9375,257801118.75,0.045165843330984536,0.9374999999999218
1999-11-30,276.375,278.25,274.125,275.0625,174783881.25,0.014925373134331921,-0.318181818181741
1999-12-01,274.3125,291.5625,271.875,286.3125,295436325.0,0.07177033492823304,0.6095238095237786
1999-12-02,283.125,287.625,264.0,286.875,479922750.0,0.08344370860927475,0.15873015873015203
1999-12-03,288.75,296.25,288.75,296.0625,402783162.5,0.025974025974029345,0.97499999999987
1999-12-06,294.1875,296.0625,288.5625,294.0,158946200.0,0.025493945188021158,-0.024999999999996667
1999-12-07,292.875,295.3125,284.625,286.5,152628100.0,0.036491677336751044,-0.5964912280701197
1999-12-08,285.1875,285.75,274.875,276.5625,124296406.25,0.03813280736357996,-0.7931034482757892
1999-12-09,283.5,283.875,271.125,275.8125,389787418.75,0.044973544973548336,-0.6029411764705409
1999-12-10,276.75,278.25,272.25,275.25,176655450.0,0.021680216802171554,-0.24999999999995834
1999-12-13,276.0,285.375,274.3125,281.8125,297039768.75,0.04008152173913391,0.5254237288135118
1999-12-14,282.375,283.3125,273.75,274.3125,168665612.5,0.03386454183267274,-0.8431372549018726
1999-12-15,273.75,275.0625,271.5,273.9375,252597768.75,0.013013698630140591,0.052631578947353645
1999-12-16,272.25,273.375,268.5,270.0,117018000.0,0.017906336088157875,-0.46153846153836686
1999-12-17,273.5625,274.125,268.875,271.6875,309642243.75,0.0191912268677212,-0.3571428571427891
1999-12-20,271.6875,275.25,264.75,264.9375,148417987.5,0.03864734299517262,-0.6428571428570816
1999-12-21,265.125,265.5,259.125,261.375,307220175.0,0.024045261669027724,-0.5882352941175548
1999-12-22,261.1875,262.875,258.0,262.5,174737500.0,0.0186647523330978,0.269230769230714
1999-12-23,263.625,268.0314,262.6875,267.375,190985962.5,0.020270839260316732,0.7017346881489708
1999-12-27,267.1875,272.25,264.0,268.5,184459500.0,0.030877192982459764,0.1590909090908898
1999-12-28,269.8125,276.0,268.875,273.75,203232000.0,0.026407227241143288,0.5526315789472909
1999-12-29,273.375,276.1875,272.0625,272.625,72309237.5,0.015089163237314988,-0.18181818181813775
1999-12-30,274.3125,274.6875,272.625,273.9375,82117331.25,0.00751879699248482,-0.18181818181809364
1999-12-31,274.5,274.5,270.375,273.75,53061875.0,0.015027322404375171,-0.18181818181813775
2000-01-03,273.1875,273.1875,263.8125,267.0,269554300.0,0.0343170899107791,-0.6599999999999296
2000-01-04,266.8125,267.375,251.8125,252.375,240715275.0,0.05832747716093114,-0.9277108433734343
2000-01-05,253.3125,257.625,251.0625,256.6875,330545050.0,0.025906735751299183,0.514285714285636
2000-01-06,259.875,267.375,259.5,261.8439,315146589.91,0.030303030303034034,0.25001904761901833
2000-01-07,260.625,279.75,260.4375,279.1875,240324600.0,0.07410071942446397,0.9611650485436396
2000-01-10,279.1875,285.1875,275.4375,285.0,211565000.0,0.034922766957693176,0.596153846153785
2000-01-11,282.75,285.375,274.5,274.875,135375937.5,0.03846153846154186,-0.7241379310344161
