Date,adjopen,adjhigh,adjlow,adjclose,amount,amp,body
1999-01-04,33.0,33.0,28.125,29.125,5626950.0,0.14772727272729855,-0.7948717948716318
1999-01-05,29.375,30.125,28.0,28.375,1742225.0,0.07234042553194649,-0.47058823529389615
1999-01-06,29.5,29.625,28.5625,29.25,1667250.0,0.036016949152575056,-0.23529411764683736
1999-01-07,28.625,29.25,27.5,29.0,1322400.0,0.061135371179072105,0.21428571428559182
1999-01-08,29.0,29.0,28.375,29.0,748200.0,0.021551724137964776,0.0
1999-01-11,29.0,29.0,28.625,28.625,374987.5,0.012931034482792658,-0.9999999999973334
1999-01-12,28.625,29.0,27.5625,27.625,1132625.0,0.0502183406113869,-0.6956521739125595
1999-01-13,28.0,28.25,27.5,27.875,5764550.0,0.026785714285749045,-0.16666666666644445
1999-01-14,28.0,28.625,27.5,27.875,970050.0,0.04017857142860572,-0.11111111111101234
1999-01-15,27.5,28.5,27.5,27.875,5103912.5,0.03636363636367141,0.37499999999962497
1999-01-19,28.25,29.0,28.125,28.875,4273500.0,0.03097345132746793,0.714285714284898
1999-01-20,29.0,30.0,27.75,27.875,1502462.5,0.07758620689658353,-0.49999999999977773
1999-01-21,27.625,27.9375,26.5,26.8125,2067243.75,0.05203619909505695,-0.5652173913039545
1999-01-22,26.75,27.0,26.0,27.0,310500.0,0.03738317757012945,0.24999999999974998
1999-01-25,27.0,27.625,26.25,27.625,298350.0,0.05092592592596108,0.45454545454512396
1999-01-26,27.5625,27.625,27.0,27.5,2612500.0,0.022675736961486705,-0.09999999999984001
1999-01-27,27.75,28.25,27.5,28.0,24931200.0,0.02702702702706209,0.3333333333328889
1999-01-28,28.375,29.875,27.875,29.75,7663600.0,0.07048458149783013,0.6874999999996563
1999-01-29,15.0,15.75,15.0,15.5,6689800.0,0.050000000000063334,0.6666666666657778
1999-02-01,15.5,16.125,15.5,16.0,12438400.0,0.040322580645223205,0.7999999999987201
1999-02-02,16.25,16.875,16.25,16.75,5507400.0,0.03846153846159764,0.7999999999987201
1999-02-03,16.75,16.75,16.25,16.5,3578850.0,0.029850746268714638,-0.499999999999
1999-02-04,16.75,16.75,16.375,16.5625,2787468.75,0.022388059701550903,-0.4999999999986667
1999-02-05,16.75,17.5,16.6875,17.0,5414500.0,0.048507462686623974,0.307692307691929
1999-02-08,17.75,17.75,16.875,17.125,1698800.0,0.04929577464794089,-0.714285714284898
1999-02-09,17.125,17.125,16.8125,16.8125,4283825.0,0.01824817518253908,-0.9999999999968001
1999-02-10,16.375,16.6875,16.375,16.5,872850.0,0.01908396946570876,0.39999999999872005
1999-02-11,16.875,17.125,16.625,16.875,3516750.0,0.029629629629687133,0.0
1999-02-12,17.0,17.0,16.875,17.0,652800.0,0.007352941176528981,0.0
1999-02-16,17.125,17.125,16.625,17.0,1689800.0,0.029197080292027493,-0.2499999999995
1999-02-17,16.625,16.9375,16.5,16.625,5211937.5,0.02631578947374278,0.0
1999-02-18,16.4375,16.9375,16.4375,16.5625,9414125.0,0.03041825095062933,0.2499999999995
1999-02-19,16.625,16.75,16.0,16.375,1367312.5,0.045112781954944656,-0.3333333333328889
1999-02-22,15.75,16.25,15.75,16.125,2729962.5,0.03174603174609322,0.7499999999985001
1999-02-23,16.0,17.0,16.0,16.9375,2606681.25,0.0625000000000586,0.9374999999990624
1999-02-24,17.125,19.125,17.125,17.75,3862400.0,0.1167883211679348,0.31249999999984374
1999-02-25,18.0,18.0,17.125,17.125,1673112.5,0.04861111111116397,-0.9999999999988571
1999-02-26,18.0,18.125,17.0,17.5,2082500.0,0.0625000000000521,-0.44444444444404935
1999-03-01,17.625,17.625,16.125,16.5625,1492281.25,0.08510638297877533,-0.7083333333328611
1999-03-02,17.5,17.5,17.0,17.0,1567400.0,0.02857142857148408,-0.999999999998
1999-03-03,17.875,18.5,16.875,17.25,4623000.0,0.09090909090914179,-0.3846153846151479
1999-03-04,18.375,18.5,17.5625,17.75,5720825.0,0.05102040816331695,-0.6666666666659555
1999-03-05,18.375,18.375,18.0,18.1875,4812412.5,0.020408163265359436,-0.4999999999986667
1999-03-08,18.375,18.375,18.0,18.25,3757675.0,0.020408163265359436,-0.33333333333244447
1999-03-09,18.5,18.5,18.125,18.5,7877300.0,0.02027027027032323,0.0
1999-03-10,18.5625,19.25,18.5,18.875,1525100.0,0.0404040404040921,0.41666666666611113
1999-03-11,18.9375,19.5,18.75,19.25,1052975.0,0.03960396039609032,0.41666666666611113
1999-03-12,19.125,19.5,19.125,19.375,447562.5,0.019607843137306166,0.6666666666648889
1999-03-15,19.5625,20.75,19.25,20.0625,4620393.75,0.07667731629397692,0.3333333333331111
1999-03-16,20.0,20.25,17.875,18.5,2641800.0,0.11875000000004407,-0.6315789473681551
1999-03-17,18.125,18.75,17.25,17.25,2001000.0,0.0827586206897058,-0.5833333333329445
1999-03-18,16.75,18.25,16.625,18.25,12280425.0,0.09701492537318826,0.923076923076355
1999-03-19,18.125,18.375,18.0,18.0,765000.0,0.020689655172467826,-0.33333333333244447
1999-03-22,18.0,18.375,18.0,18.0,360000.0,0.020833333333387733,0.0
1999-03-23,18.0,19.1875,18.0,18.875,1062662.5,0.06597222222227413,0.7368421052625374
1999-03-24,19.1875,20.875,18.75,20.75,7038400.0,0.1107491856677988,0.7352941176467128
1999-03-25,20.625,20.875,20.375,20.5625,2305056.25,0.024242424242471552,-0.12499999999975
1999-03-26,20.4375,20.875,20.375,20.5625,1850625.0,0.02446483180432908,0.2499999999995
1999-03-29,20.625,20.625,19.875,20.0625,997106.25,0.03636363636368309,-0.749999999999
1999-03-30,19.875,20.375,19.875,20.375,1662600.0,0.025157232704451565,0.999999999998
1999-03-31,19.875,20.75,19.125,20.75,2228550.0,0.08176100628935438,0.538461538461207
1999-04-01,20.75,20.75,19.875,20.5625,766981.25,0.04216867469884134,-0.2142857142854694
1999-04-05,20.625,20.875,20.25,20.3125,2301406.25,0.03030303030307732,-0.49999999999920003
1999-04-06,20.125,20.5,18.125,19.0,887300.0,0.11801242236029229,-0.4736842105261163
1999-04-07,18.625,19.25,18.5,19.0625,5007718.75,0.04026845637589046,0.5833333333325555
1999-04-08,19.25,19.25,18.0625,18.625,1534700.0,0.06168831168836044,-0.526315789473241
1999-04-09,18.6875,19.375,18.1875,19.375,408812.5,0.06354515050172237,0.578947368420565
1999-04-12,18.0,19.5,18.0,19.5,955500.0,0.08333333333338427,0.9999999999993333
1999-04-13,20.75,22.5625,20.3438,22.3125,12126843.75,0.10692530120486225,0.7042412223370879
1999-04-14,23.5,24.875,22.875,24.125,8964850.0,0.08510638297876234,0.31249999999984374
1999-04-15,24.0,24.125,21.75,21.75,3527850.0,0.09895833333337088,-0.9473684210522326
1999-04-16,21.75,23.625,21.75,23.625,7739550.0,0.08620689655176617,0.9999999999994666
1999-04-19,23.0,23.75,21.625,21.75,9596100.0,0.09239130434786556,-0.5882352941173702
1999-04-20,22.125,22.4375,19.5,20.0625,3460781.25,0.13276836158196012,-0.7021276595742291
1999-04-21,20.875,22.875,20.375,22.875,2129662.5,0.11976047904195834,0.79999999999968
1999-04-22,23.0,23.125,21.875,22.625,832600.0,0.05434782608699765,-0.29999999999975996
1999-04-23,22.4375,22.4375,20.75,21.8125,451518.75,0.07520891364906629,-0.37037037037015086
1999-04-26,23.0,23.25,20.5,21.125,1554800.0,0.11956521739134264,-0.6818181818179339
1999-04-27,22.25,22.25,20.125,20.3125,1196406.25,0.09550561797756875,-0.9117647058819238
1999-04-28,20.0,20.5,19.0,19.5,2620800.0,0.07500000000004627,-0.3333333333331111
1999-04-29,20.0,20.25,19.25,19.6875,883968.75,0.050000000000047506,-0.31249999999968747
1999-04-30,19.625,19.625,18.0,18.125,2903625.0,0.08280254777074739,-0.923076923076355
1999-05-03,18.0,18.875,17.125,17.5,2269750.0,0.09722222222227239,-0.28571428571412244
1999-05-04,17.5,18.625,17.5,17.875,1769625.0,0.06428571428576776,0.333333333333037
1999-05-05,18.0,18.375,17.5,17.6875,2921975.0,0.04861111111116397,-0.357142857142449
1999-05-06,17.75,19.0625,17.625,18.125,1701937.5,0.08098591549300954,0.26086956521720983
1999-05-07,18.125,19.0,17.75,18.0,399600.0,0.06896551724143068,-0.09999999999991999
1999-05-10,18.625,18.625,17.5625,17.625,1559812.5,0.05704697986582245,-0.9411764705873494
1999-05-11,18.0,18.0,15.25,17.125,1553237.5,0.15277777777782486,-0.3181818181817025
1999-05-12,17.125,17.125,16.5,17.125,1695375.0,0.03649635036501977,0.0
1999-05-13,17.125,17.5,16.875,17.125,3673312.5,0.03649635036501977,0.0
1999-05-14,17.25,17.4375,17.0,17.125,337362.5,0.02536231884063621,-0.28571428571363267
1999-05-17,17.25,17.25,17.0,17.0,1108400.0,0.014492753623245537,-0.9999999999960001
1999-05-18,17.1875,17.5,17.0,17.0938,2692273.5000000005,0.02909090909096558,-0.1873999999996219
1999-05-19,17.25,19.75,17.125,19.5625,14482118.75,0.15217391304352743,0.8809523809520453
1999-05-20,19.6875,20.625,19.625,20.625,822937.5,0.05079365079369902,0.9374999999990624
1999-05-21,20.625,21.0,18.75,18.8125,1322518.75,0.1090909090909523,-0.8055555555551975
