Date,adjopen,adjhigh,adjlow,adjclose,amount,amp,body
1999-01-04,6804.0,6957.0,6723.0,6862.5,1493813750.0,0.034391534391534535,0.24999999999999895
1999-01-05,6898.5,6993.0,6831.0,6979.5,1221315562.5,0.023483365949119515,0.49999999999999695
1999-01-06,7191.0,7308.0,7128.0,7182.0,2040336375.0,0.02503128911138937,-0.049999999999999725
1999-01-07,7092.0,7560.0,7060.5,7461.0,2465000412.5,0.07043147208121842,0.7387387387387372
1999-01-08,7758.0,7776.0,7474.5,7681.5,2563508587.5,0.038863109048724025,-0.2537313432835812
1999-01-11,7749.0,7767.0,7429.5,7537.5,1718068437.5,0.04355400696864124,-0.6266666666666648
1999-01-12,7510.5,7515.0,7038.0,7065.0,2444077875.0,0.06351108448172571,-0.9339622641509414
1999-01-13,6484.5,7182.0,6471.0,6903.0,2972009950.0,0.1096460791117281,0.588607594936708
1999-01-14,7146.0,7236.0,6921.0,6939.0,1963370775.0,0.044080604534005176,-0.657142857142855
1999-01-15,7038.0,7326.0,7038.0,7321.5,1635399387.5,0.04092071611253211,0.9843749999999966
1999-01-19,7533.0,7668.0,7357.5,7659.0,1874263675.0,0.04121863799283167,0.405797101449274
1999-01-20,7771.5,7915.5,7555.5,7641.0,1938840075.0,0.046323103647944536,-0.362499999999999
1999-01-21,7582.5,7641.0,7200.0,7294.5,1944835275.0,0.05816023738872416,-0.6530612244897944
1999-01-22,7137.0,7524.0,7060.5,7402.5,1692427406.25,0.06494325346784377,0.5728155339805813
1999-01-25,7452.0,7452.0,7155.0,7447.5,1204550375.0,0.03985507246376825,-0.0151515151515151
1999-01-26,7528.5,7740.0,7434.0,7713.0,1638305475.0,0.04064554692169768,0.6029411764705862
1999-01-27,7767.0,7776.0,7407.0,7447.5,1657575593.75,0.04750869061413686,-0.8658536585365829
1999-01-28,7605.0,7857.0,7551.0,7839.0,1767781600.0,0.040236686390532676,0.7647058823529386
1999-01-29,7848.0,8064.0,7695.0,8032.5,2124540468.75,0.04701834862385334,0.4999999999999986
1999-02-01,8140.5,8460.0,8064.0,8280.0,2932684000.0,0.04864566058595921,0.35227272727272635
1999-02-02,8379.0,8406.0,8010.0,8092.1232,3566164977.0600004,0.04726100966702482,-0.7244363636363618
1999-02-03,7884.0,8082.0,7776.0,8001.0,2693292175.0,0.03881278538812798,0.3823529411764693
1999-02-04,7965.0,7992.0,7470.0,7578.0,2485099850.0,0.06553672316384193,-0.7413793103448262
1999-02-05,7533.0,7569.0,7177.5,7290.0,2755265625.0,0.05197132616487468,-0.6206896551724121
1999-02-08,7443.0,7519.5,7065.0,7339.5,2342095612.5,0.06106408706166881,-0.2277227722772272
1999-02-09,7375.5,7380.0,6903.0,6907.5,2018707281.25,0.06467358145210507,-0.981132075471696
1999-02-10,6907.5,7173.0,6876.0,7096.5,1982900087.5,0.04299674267100991,0.6363636363636341
1999-02-11,7195.5,7564.5,7146.0,7551.0,1838888737.5,0.05816135084427781,0.8494623655913958
1999-02-12,7474.5,7479.0,7092.0,7132.5,1602930312.5,0.05177603853100555,-0.8837209302325558
1999-02-16,7335.0,7389.0,7033.5,7132.5,1385101781.25,0.04846625766871179,-0.5696202531645553
1999-02-17,6961.5,7096.5,6831.0,6849.0,1801325050.0,0.03813833225597946,-0.4237288135593204
1999-02-18,6912.0,6966.0,6597.0,6925.5,1785403518.75,0.05338541666666681,0.03658536585365844
1999-02-19,6966.0,7047.0,6885.0,6993.0,1064538562.5,0.02325581395348851,0.16666666666666563
1999-02-22,7011.0,7384.5,6907.5,7348.5,1703147556.25,0.06803594351733004,0.7075471698113193
1999-02-23,7357.5,7519.5,7276.5,7411.5,1702689187.5,0.03302752293577995,0.22222222222222132
1999-02-24,7434.0,7506.0,7182.0,7195.5,1381046306.25,0.04358353510895897,-0.7361111111111088
1999-02-25,7137.0,7272.0,6993.0,7092.0,1746956600.0,0.039092055485498246,-0.16129032258064457
1999-02-26,7074.0,7083.0,6876.0,7042.5,1410925750.0,0.029262086513995048,-0.15217391304347752
1999-03-01,7038.0,7204.5,6948.0,7159.5,1231364393.75,0.03644501278772393,0.4736842105263139
1999-03-02,7182.0,7240.5,6876.0,6889.5,1455847037.5,0.050751879699248256,-0.8024691358024669
1999-03-03,6880.5,6966.0,6768.0,6849.0,1672373600.0,0.028776978417266327,-0.15909090909090828
1999-03-04,6970.5,7173.0,6858.0,7074.0,1605051300.0,0.04519044544867671,0.3285714285714275
1999-03-05,7245.0,7276.5,7101.0,7258.5,1231908587.5,0.024223602484472185,0.07692307692307648
1999-03-08,7344.0,7560.0,7330.5,7528.5,1443265731.25,0.03125000000000013,0.8039215686274475
1999-03-09,7510.5,7776.0,7497.0,7582.5,1731421750.0,0.03714799281006604,0.2580645161290313
1999-03-10,7488.0,7573.5,7353.0,7515.0,1456250437.5,0.029447115384615512,0.12244897959183618
1999-03-11,7560.0,7686.0,7479.0,7596.0,1172389850.0,0.02738095238095251,0.17391304347826003
1999-03-12,7627.5,7641.0,7371.0,7434.0,919740675.0,0.03539823008849571,-0.7166666666666639
1999-03-15,7443.0,7560.0,7330.5,7560.0,899083500.0,0.0308343409915358,0.5098039215686252
1999-03-16,7555.5,7708.5,7551.0,7632.0,1206587400.0,0.020845741512805372,0.48571428571428266
1999-03-17,7627.5,7668.0,7551.0,7636.5,748493668.75,0.01533923303834821,0.07692307692307628
1999-03-18,7587.0,7704.0,7569.0,7695.0,804437437.5,0.017793594306049952,0.7999999999999942
1999-03-19,7830.0,7848.0,7447.5,7524.0,1580855100.0,0.05114942528735645,-0.7640449438202228
1999-03-22,7560.0,7560.0,7371.0,7398.0,878574150.0,0.02500000000000013,-0.8571428571428527
1999-03-23,7344.0,7456.5,7155.0,7222.5,1349413781.25,0.04105392156862758,-0.4029850746268643
1999-03-24,7231.5,7524.0,7227.0,7519.5,1192425600.0,0.04107031736154339,0.9696969696969664
1999-03-25,7614.0,7749.0,7551.0,7735.5,1458313650.0,0.026004728132387835,0.6136363636363605
1999-03-26,7699.5,7708.5,7533.0,7573.5,1040283337.5,0.022793687901811934,-0.7179487179487138
1999-03-29,7641.0,7924.5,7625.2536,7920.0,1420716000.0,0.039163250883392356,0.9323420432125468
1999-03-30,7902.0,8082.0,7839.0,7915.5,1607989850.0,0.030751708428246136,0.05555555555555533
1999-03-31,8014.5,8100.0,7875.0,7888.5,1270037543.75,0.028074115665356662,-0.5599999999999975
1999-04-01,7956.0,8028.0,7785.0,7915.5,876124918.75,0.030542986425339487,-0.166666666666666
1999-04-05,8019.0,8244.0,8019.0,8239.5,1168807406.25,0.028058361391694847,0.9799999999999957
1999-04-06,8226.0,8370.0,8190.0,8298.0,1450536500.0,0.021881838074398367,0.3999999999999978
1999-04-07,8415.0,8640.0,8244.0,8550.0,2007456875.0,0.047058823529411875,0.34090909090909005
1999-04-08,8451.0,8550.0,8262.0,8469.0,1525419812.5,0.03407880724174665,0.06249999999999978
1999-04-09,8487.0,8613.0,8460.0,8505.0,1070779500.0,0.01802757158006374,0.11764705882352865
1999-04-12,8316.0,8577.0,8244.0,8478.0,1395290400.0,0.04004329004329016,0.486486486486485
1999-04-13,8496.0,8500.5,8208.0,8217.0,1373642737.5,0.03442796610169503,-0.9538461538461505
1999-04-14,8338.5,8361.0,7956.0,7974.0,1141134775.0,0.048569886670264545,-0.8999999999999977
1999-04-15,7992.0,8001.0,7650.0,7942.5,1845759781.25,0.04391891891891904,-0.1410256410256406
1999-04-16,7951.5,7965.0,7560.0,7609.5,1497834956.25,0.05093378607809859,-0.8444444444444423
1999-04-19,7663.5,7857.0,7198.8768,7200.0,2033530000.0,0.08587762771579578,-0.7042754304969028
1999-04-20,7204.5,7371.0,7146.0,7312.5,1902357031.25,0.031230480949406756,0.4799999999999979
1999-04-21,7393.5,7785.0,7281.0,7771.5,1573480493.75,0.0681679853925747,0.7499999999999984
