Date,adjopen,adjhigh,adjlow,adjclose,amount,amp,body
1999-01-04,220.5,221.0,200.0,202.0,58741600.0,0.09523809523809934,-0.8809523809523391
1999-01-05,200.5,205.5,196.5,199.25,43062906.25,0.0448877805486332,-0.13888888888887346
1999-01-06,203.5,210.5,202.0,209.0,56121725.0,0.04176904176904648,0.6470588235293356
1999-01-07,205.5,206.0,199.0,202.5,36039937.5,0.03406326034063731,-0.4285714285713673
1999-01-08,204.0,204.5,185.25,189.0,63537075.0,0.09436274509804365,-0.7792207792207388
1999-01-11,190.5,194.0,186.25,186.25,36882156.25,0.04068241469816777,-0.5483870967741228
1999-01-12,186.75,187.25,178.5,182.25,39224756.25,0.04685408299866642,-0.5142857142856555
1999-01-13,178.5,188.75,174.5,179.5,25031275.0,0.0798319327731144,0.0701754385964863
1999-01-14,185.0,185.0,172.0,176.0,31042000.0,0.0702702702702753,-0.692307692307639
1999-01-15,182.5,190.5,177.5,188.0,24797200.0,0.07123287671233386,0.42307692307689054
1999-01-19,192.0,192.5,182.0,190.0,18107000.0,0.05468750000000493,-0.19047619047617234
1999-01-20,192.0,193.0,184.0,184.25,35099625.0,0.04687500000000497,-0.8611111111110155
1999-01-21,185.0,189.0,175.5,186.0,37009350.0,0.07297297297297799,0.07407407407406859
1999-01-22,186.5,203.0,182.5,191.0,92386700.0,0.10991957104558117,0.21951219512194053
1999-01-25,197.5,201.0,185.0,190.5,31465837.5,0.08101265822785275,-0.4374999999999727
1999-01-26,193.5,197.0,185.5,190.25,60937075.0,0.05943152454780848,-0.28260869565214936
1999-01-27,191.0,192.0,183.5,184.0,58001400.0,0.04450261780105212,-0.823529411764609
1999-01-28,187.5,188.0,171.0,175.75,59715456.25,0.09066666666667152,-0.6911764705881948
1999-01-29,177.75,181.0,167.75,168.6252,71387478.42,0.07454289732771266,-0.6886641509433438
1999-02-01,168.75,174.0,164.0,171.0,55758825.0,0.05925925925926483,0.2249999999999775
1999-02-02,171.25,171.5,164.5,167.0,30272925.0,0.040875912408764724,-0.6071428571427704
1999-02-03,167.0,170.25,164.25,169.5,25865700.0,0.03592814371258062,0.41666666666659724
1999-02-04,170.0,171.0,165.0,167.25,23394093.75,0.0352941176470645,-0.45833333333325693
1999-02-05,167.0,167.0,156.5,160.25,25275431.25,0.0628742514970116,-0.6428571428570816
1999-02-08,165.0,165.5,154.5,160.0,24472000.0,0.06666666666667233,-0.45454545454541323
1999-02-09,160.5,165.0,155.0,156.25,28882812.5,0.062305295950161606,-0.4249999999999575
1999-02-10,154.5,160.0,152.5,155.5,26660475.0,0.04854368932039451,0.13333333333331554
1999-02-11,157.75,166.5,152.25,164.25,36303356.25,0.09033280507132115,0.456140350877161
1999-02-12,164.0,164.25,158.0,162.75,30279637.5,0.038109756097566845,-0.199999999999968
1999-02-16,166.0,170.5,161.3124,164.5,46154587.5,0.05534698795181294,-0.1632635291044273
1999-02-17,162.5,164.5,159.0,161.5,64462725.0,0.03384615384615979,-0.18181818181814877
1999-02-18,164.25,165.0,158.5,160.5,49522275.0,0.03957382039574405,-0.5769230769229882
1999-02-19,165.0,168.0,158.0,160.5,43856625.0,0.060606060606066305,-0.449999999999955
1999-02-22,160.5,165.0,159.0,164.5,27965000.0,0.03738317757009946,0.6666666666665555
1999-02-23,166.5,167.0,160.5,162.5,23460937.5,0.039039039039044814,-0.6153846153845207
1999-02-24,162.5,168.0,160.25,162.0,40828050.0,0.04769230769231356,-0.06451612903224974
1999-02-25,162.0,168.0,158.5,162.0,18516600.0,0.05864197530864779,0.0
1999-02-26,162.0,163.0,158.5,159.5,20675187.5,0.027777777777783782,-0.5555555555554321
1999-03-01,159.5,160.5,156.25,159.25,15327812.5,0.026645768025084473,-0.05882352941175086
1999-03-02,160.0,160.25,154.5,154.5,24461212.5,0.03593750000000603,-0.9565217391302684
1999-03-03,155.75,159.0,152.0,153.0,17778600.0,0.044943820224725234,-0.3928571428570867
1999-03-04,154.5,166.0,153.5,166.0,43902850.0,0.08090614886731987,0.9199999999999264
1999-03-05,167.5,170.5,161.0,163.75,23780593.75,0.0567164179104534,-0.3947368421052216
1999-03-08,164.5,177.0,164.25,172.0,35702900.0,0.07750759878420015,0.5882352941176009
1999-03-09,174.0,177.0,168.25,174.5,37395350.0,0.05028735632184454,0.05714285714285061
1999-03-10,174.0,176.0,163.0,164.0,66124800.0,0.07471264367816624,-0.7692307692307101
1999-03-11,165.0,169.25,161.0,164.5,93444225.0,0.05000000000000576,-0.06060606060605326
1999-03-12,165.0,169.0,161.5,164.75,14407387.5,0.04545454545455124,-0.033333333333328885
1999-03-15,165.5,176.75,165.0,174.0,49107150.0,0.07099697885196936,0.7234042553190874
1999-03-16,174.0,174.5,170.0,173.0,24051325.0,0.02586206896552284,-0.22222222222217283
1999-03-17,173.0,174.75,169.5,172.5,20777625.0,0.03034682080925416,-0.0952380952380771
1999-03-18,173.5,190.0,173.0,190.0,69939000.0,0.09798270893372277,0.9705882352940607
1999-03-19,196.0,196.0,185.75,186.25,68079031.25,0.05229591836735178,-0.9512195121950291
1999-03-22,185.5,187.5,179.0,185.75,29910393.75,0.04582210242588115,0.029411764705878893
1999-03-23,186.0,190.0,179.75,179.75,47656218.75,0.05510752688172551,-0.6097560975609161
1999-03-24,180.5,190.25,178.25,190.0,47960750.0,0.06648199445983898,0.7916666666666007
1999-03-25,190.75,198.0,190.5,197.0,70614650.0,0.0393184796854572,0.8333333333332222
1999-03-26,193.0,198.0,192.5,196.25,25453625.0,0.028497409326429905,0.5909090909089835
1999-03-29,196.0,203.5,194.0,200.5,49658837.5,0.048469387755106896,0.4736842105262659
1999-03-30,199.5,200.5,194.5,195.5,22130600.0,0.030075187969929675,-0.6666666666665555
1999-03-31,195.5,199.5,187.5,190.0,36622500.0,0.06138107416880276,-0.4583333333332951
1999-04-01,192.0,193.0,190.0,191.5,25598762.5,0.015625000000005128,-0.16666666666661112
1999-04-05,192.0,198.5,190.25,197.0,28446800.0,0.04296875000000499,0.6060606060605326
1999-04-06,195.0,200.5,190.5,192.0,30240000.0,0.05128205128205615,-0.29999999999997
1999-04-07,192.5,200.0,191.75,200.0,36845000.0,0.04285714285714783,0.9090909090907989
