,Date,open,high,low,close,volume,adjfactor,kmid2,kup2,klow,klow2,ksft2,roc_5,roc_10,roc_20,roc_30,roc_60,ma_5,ma_10,ma_20,ma_30,ma_60,std_5,std_10,std_20,std_30,std_60,beta_5,beta_10,beta_20,beta_30,beta_60,max_5,max_10,max_20,max_30,max_60,min_5,min_10,min_20,min_30,min_60,qtlu_5,qtlu_10,qtlu_20,qtlu_30,qtlu_60,qtld_5,qtld_10,qtld_20,qtld_30,qtld_60,rank_5,rank_10,rank_20,rank_30,rank_60,imax_5,imax_10,imax_20,imax_30,imax_60,imin_5,imin_10,imin_20,imin_30,imin_60,imxd_5,imxd_10,imxd_20,imxd_30,imxd_60,cntp_5,cntp_10,cntp_20,cntp_30,cntp_60,cntn_5,cntn_10,cntn_20,cntn_30,cntn_60,cntd_5,cntd_10,cntd_20,cntd_30,cntd_60,sump_5,sump_10,sump_20,sump_30,sump_60,sumn_5,sumn_10,sumn_20,sumn_30,sumn_60,sumd_5,sumd_10,sumd_20,sumd_30,sumd_60,weekday,day,month,ret1,mov1
0,2000-09-21,93.0,93.875,86.6875,92.0,150300.0,1.0,-0.13913043478258932,0.12173913043476567,0.05712365591397849,0.7391304347825058,0.47826086956515085,1.0869565217391304,1.0380434782608696,0.5815217391304348,0.5720108695652174,0.6154891304347826,1.0058423913043477,1.0345108695652174,0.8996603260869565,0.7914798550724637,0.6904042210144928,0.0316957807744753,0.0439425971215527,0.16993505462113573,0.20800457723693613,0.1838841519359063,0.017391304347826087,0.0038043478260869567,-0.02092391304347826,-0.014266304347826086,-0.006408514492753623,1.0550271739130435,1.1032608695652173,1.1032608695652173,1.1032608695652173,1.1032608695652173,0.9769021739130435,0.9769021739130435,0.5991847826086957,0.5421195652173914,0.469429347826087,1.0240489130434782,1.0766304347826086,1.0414402173913044,1.022554347826087,0.8315217391304351,0.9801630434782609,0.9961956521739131,0.7584239130434783,0.5801630434782609,0.5631793478260869,0.12,0.03,0.03,0.024444444444444442,0.014444444444444446,0.0,0.4,0.7,0.8,0.9,0.4,0.7,0.0,0.1,0.4,-0.4,-0.3,0.7,0.7,0.5,0.4,0.4,0.7,0.6,0.55,0.6,0.6,0.3,0.4,0.45,-0.19999999999999996,-0.19999999999999996,0.39999999999999997,0.19999999999999996,0.10000000000000003,0.25169528599439145,0.44221910491812366,0.828391254056689,0.7525561459180666,0.5987932558677342,0.7483047140056085,0.5577808950818763,0.171608745943311,0.24744385408193337,0.40120674413226576,-0.4966094280112171,-0.11556179016375268,0.656782508113378,0.5051122918361333,0.19758651173546848,3,21,9,-0.028532608695652217,0
1,2000-09-22,87.0625,91.0,84.125,89.375,220000.0,1.0,0.33636363636358746,0.23636363636360197,0.03374012921751615,0.42727272727266513,0.5272727272726506,1.086013986013986,1.0615384615384615,0.6167832167832168,0.5818181818181818,0.6082170629370629,1.018181818181818,1.0587412587412588,0.9452447552447553,0.8286655104895104,0.7172115431235433,0.019151138374306657,0.049705584474859774,0.15957805189500543,0.21203025141658213,0.19242195795497136,0.0172027972027972,0.006153846153846154,-0.01916083916083916,-0.013939393939393939,-0.0065297156177156175,1.0461538461538462,1.1356643356643357,1.1356643356643357,1.1356643356643357,1.1356643356643357,1.0,1.0,0.6195804195804195,0.558041958041958,0.48321678321678324,1.0327272727272727,1.1082517482517482,1.072027972027972,1.0525874125874126,0.9429370629370631,1.0044755244755246,1.008951048951049,0.7960839160839162,0.610909090909091,0.5797202797202797,0.04,0.01,0.0225,0.021111111111111112,0.01361111111111111,0.0,0.3,0.65,0.7666666666666667,0.8833333333333333,0.2,0.6,0.0,0.06666666666666667,0.38333333333333336,-0.2,-0.3,0.65,0.7,0.5,0.4,0.4,0.65,0.6,0.55,0.6,0.6,0.35,0.4,0.45,-0.19999999999999996,-0.19999999999999996,0.30000000000000004,0.19999999999999996,0.10000000000000003,0.25303038482877405,0.4090665168992514,0.7956086375945637,0.7421950949810437,0.6010124167329353,0.746969615171226,0.5909334831007487,0.20439136240543632,0.25780490501895625,0.39898758326706474,-0.4939392303424519,-0.18186696620149723,0.5912172751891274,0.4843901899620875,0.20202483346587052,4,22,9,-0.03146853146853146,0
2,2000-09-25,91.625,94.5,83.0,86.5625,277900.0,1.0,-0.44021739130430954,0.24999999999997827,0.038881309686221006,0.30978260869562524,-0.3804347826086626,1.0382671480144405,1.084476534296029,0.6397111913357401,0.5992779783393501,0.6382671480144404,1.0436101083032492,1.0846931407942237,0.993971119133574,0.8689470613718411,0.7465433261131168,0.030537334036993744,0.059245923793106677,0.1445166340822237,0.21492985756892463,0.20099354959868843,0.0076534296028880865,0.008447653429602887,-0.018014440433212996,-0.013357400722021661,-0.006028880866425993,1.08014440433213,1.1725631768953069,1.1725631768953069,1.1725631768953069,1.1725631768953069,1.0,1.0,0.675812274368231,0.5761732851985559,0.49891696750902526,1.0662815884476533,1.1442599277978338,1.1068592057761732,1.0867870036101084,1.0064981949458485,1.0259927797833934,1.0371119133574007,0.8280144404332129,0.6350902527075812,0.5985559566787003,0.04,0.01,0.02,0.02,0.013333333333333334,0.2,0.2,0.6,0.7333333333333333,0.8666666666666667,0.8,0.9,0.0,0.03333333333333333,0.36666666666666664,-0.6,-0.7,0.6,0.7,0.5,0.4,0.4,0.6,0.6,0.5333333333333333,0.6,0.6,0.4,0.4,0.4666666666666667,-0.19999999999999996,-0.19999999999999996,0.19999999999999996,0.19999999999999996,0.06666666666666665,0.3457319040448869,0.3818214802254946,0.7669806380350208,0.7247824695193807,0.592834917093724,0.654268095955113,0.6181785197745053,0.2330193619649792,0.27521753048061925,0.40716508290627595,-0.3085361919102262,-0.23635703954901077,0.5339612760700416,0.4495649390387615,0.1856698341874481,0,25,9,-0.0628158844765343,0
3,2000-09-26,84.5,86.0,76.0,81.125,384900.0,1.0,-0.33749999999996627,0.149999999999985,0.060650887573964495,0.5124999999999488,0.0249999999999975,1.1124807395993837,1.2180277349768875,0.7211093990755008,0.6147919876733436,0.7026194144838213,1.0910631741140215,1.1355932203389831,1.074537750385208,0.940029542886492,0.8015376271186442,0.06043814280308804,0.07623875462853234,0.13304653194969546,0.22190518069048068,0.21568986808044116,0.022496147919876735,0.021802773497688752,-0.013944530046224961,-0.012840267077555213,-0.004956343091936312,1.152542372881356,1.2511556240369799,1.2511556240369799,1.2511556240369799,1.2511556240369799,1.0,1.0,0.8366718027734977,0.6286594761171033,0.5323574730354391,1.1377503852080122,1.203697996918336,1.1810477657935285,1.1596302003081664,1.0739599383667182,1.0536209553158704,1.0947611710323575,0.9152542372881356,0.6791987673343606,0.6386748844375963,0.04,0.01,0.015,0.017777777777777778,0.012777777777777779,0.0,0.1,0.55,0.7,0.85,0.8,0.9,0.0,0.0,0.35,-0.8,-0.8,0.55,0.7,0.5,0.2,0.3,0.55,0.6,0.5166666666666667,0.8,0.7,0.45,0.4,0.48333333333333334,-0.6000000000000001,-0.39999999999999997,0.10000000000000003,0.19999999999999996,0.03333333333333338,0.20592953586050666,0.20768248618806898,0.6998309253222438,0.7108609745531365,0.5768848607456214,0.7940704641394933,0.792317513811931,0.3001690746777562,0.28913902544686354,0.4231151392543786,-0.5881409282789867,-0.5846350276238621,0.39966185064448756,0.4217219491062729,0.1537697214912428,1,26,9,-0.0662557781201849,0
4,2000-09-27,82.25,84.0,74.0,75.75,180300.0,1.0,-0.649999999999935,0.1749999999999825,0.02127659574468085,0.1749999999999825,-0.649999999999935,1.2343234323432344,1.33993399339934,0.8960396039603961,0.6732673267326733,0.7260726072607261,1.1216171617161717,1.1821782178217821,1.1559818481848185,1.017622398239824,0.8629778657865788,0.08635346799473513,0.09419585571094734,0.13436983588586374,0.2291776565682386,0.23104164577773476,0.04686468646864687,0.03399339933993399,-0.005198019801980198,-0.01089108910891089,-0.004565456545654566,1.2145214521452146,1.3201320132013201,1.33993399339934,1.33993399339934,1.33993399339934,1.0,1.0,0.9273927392739274,0.6895630363036304,0.5701320132013201,1.1867986798679868,1.2437293729372938,1.2648514851485149,1.241914191419142,1.1501650165016504,1.0567656765676567,1.1283828382838283,0.9976897689768978,0.7303630363036304,0.683993399339934,0.04,0.01,0.0125,0.016666666666666666,0.0125,0.4,0.0,0.5,0.6666666666666666,0.8333333333333334,0.8,0.9,0.0,0.0,0.3333333333333333,-0.4,-0.9,0.5,0.6666666666666666,0.5,0.0,0.2,0.5,0.5666666666666667,0.5166666666666667,1.0,0.8,0.5,0.43333333333333335,0.48333333333333334,-1.0,-0.6000000000000001,0.0,0.1333333333333333,0.03333333333333338,0.0,0.1105453817210029,0.58452451681753,0.6698294150968173,0.5712208296801234,1.0,0.8894546182789971,0.41547548318246996,0.33017058490318274,0.42877917031987656,-1.0,-0.7789092365579942,0.16904903363506008,0.3396588301936345,0.1424416593602469,2,27,9,0.0264026402640265,1
5,2000-09-28,75.0,80.125,73.5,77.75,409700.0,1.0,0.41509433962257886,0.35849056603768176,0.02,0.22641509433958845,0.28301886792448555,1.1832797427652733,1.2861736334405145,0.9035369774919614,0.7057877813504824,0.6631832797427653,1.0561093247588424,1.1231511254019293,1.1310691318327974,1.0012526902465164,0.8463926902465168,0.07417397327103034,0.08980202687232598,0.123863555128402,0.2166662330350623,0.22479405854976958,0.036655948553054665,0.028617363344051447,-0.00482315112540193,-0.009807073954983923,-0.0056136120042872455,1.1495176848874598,1.2483922829581993,1.3054662379421222,1.3054662379421222,1.3054662379421222,0.9742765273311897,0.9742765273311897,0.9180064308681672,0.6718250803858521,0.5554662379421221,1.1205787781350482,1.1871382636655947,1.232315112540193,1.209967845659164,1.1205787781350485,0.9948553054662379,1.034726688102894,0.9948553054662379,0.717363344051447,0.6684887459807074,0.08,0.02,0.0125,0.016666666666666666,0.0125,0.2,0.0,0.45,0.6333333333333333,0.8166666666666667,0.8,0.9,0.0,0.03333333333333333,0.31666666666666665,-0.6,-0.9,0.45,0.6,0.5,0.2,0.3,0.5,0.5666666666666667,0.5333333333333333,0.8,0.7,0.5,0.43333333333333335,0.4666666666666667,-0.6000000000000001,-0.39999999999999997,0.0,0.1333333333333333,0.06666666666666665,0.12253201521831572,0.17750304271787323,0.5801233031715292,0.6568094859266635,0.5862037478045535,0.8774679847816843,0.8224969572821268,0.41987669682847084,0.34319051407333645,0.41379625219544647,-0.7549359695633686,-0.6449939145642536,0.16024660634305832,0.3136189718533271,0.17240749560910706,3,28,9,-0.008038585209003246,0
6,2000-09-29,77.5,79.0,74.875,77.125,279400.0,1.0,-0.09090909090906887,0.3636363636362755,0.02903225806451613,0.5454545454544132,0.09090909090906887,1.1588330632090762,1.2585089141004862,0.9254457050243112,0.6855753646677472,0.5899513776337115,1.03290113452188,1.1064019448946516,1.1439627228525122,1.0198473905996757,0.8600857698541331,0.0562015572513035,0.08732332225742549,0.11909716521987136,0.20971976076288845,0.22471572799444534,0.03176661264181523,0.02585089141004862,-0.0037277147487844407,-0.010480821177741762,-0.006834143706104808,1.1223662884927066,1.2123176661264181,1.3160453808752026,1.3160453808752026,1.3160453808752026,0.9821717990275527,0.9821717990275527,0.9303079416531604,0.6772693679092383,0.559967585089141,1.0659643435980553,1.1747163695299838,1.2423014586709886,1.2197730956239872,1.1296596434359807,0.9964343598055104,1.006482982171799,1.006482982171799,0.7517017828200973,0.6766615235008103,0.08,0.02,0.01,0.015555555555555555,0.012222222222222221,0.0,0.0,0.4,0.6,0.8,0.6,0.8,0.0,0.0,0.3,-0.6,-0.8,0.4,0.6,0.5,0.2,0.3,0.45,0.5666666666666667,0.5333333333333333,0.8,0.7,0.55,0.43333333333333335,0.4666666666666667,-0.6000000000000001,-0.39999999999999997,-0.10000000000000003,0.1333333333333333,0.06666666666666665,0.13541105776341678,0.18820790259349762,0.5659378058398942,0.6719935276846449,0.6074035736402016,0.8645889422365832,0.8117920974065024,0.43406219416010583,0.32800647231535507,0.3925964263597984,-0.7291778844731664,-0.6235841948130048,0.13187561167978834,0.34398705536928986,0.21480714728040318,4,29,9,0.027552674230145957,1
7,2000-10-02,77.125,83.25,77.0625,79.25,244200.0,1.0,0.3434343434342879,0.6464646464645419,0.0008103727714748784,0.010101010101008468,-0.2929292929292456,1.0922712933753944,1.1340694006309149,0.9053627760252366,0.6591091482649842,0.6041009463722398,0.9867507886435332,1.0633280757097792,1.1180205047318612,1.0038643533123028,0.8436218506834912,0.02602762631223261,0.08550555316898074,0.10867456528999075,0.19414149992954374,0.21751273673030272,0.018454258675078865,0.013406940063091483,-0.00473186119873817,-0.011363028391167191,-0.0065983175604626704,1.023659305993691,1.1798107255520505,1.2807570977917981,1.2807570977917981,1.2807570977917981,0.9558359621451105,0.9558359621451105,0.944794952681388,0.6750788643533123,0.5449526813880127,1.0047318611987381,1.1432176656151418,1.2089905362776026,1.1870662460567825,1.0993690851735018,0.9697160883280757,0.9794952681388013,0.9962145110410096,0.832807570977918,0.6630521135646688,0.16,0.04,0.0125,0.016666666666666666,0.0125,0.0,0.1,0.35,0.5666666666666667,0.7833333333333333,0.4,0.7,0.0,0.0,0.2833333333333333,-0.4,-0.6,0.35,0.5666666666666667,0.5,0.4,0.4,0.45,0.6,0.5333333333333333,0.6,0.6,0.55,0.4,0.4666666666666667,-0.19999999999999996,-0.19999999999999996,-0.10000000000000003,0.19999999999999996,0.06666666666666665,0.2823916243430737,0.30634882287857035,0.5776693126987702,0.6857999967935763,0.6041828918655937,0.7176083756569263,0.6936511771214297,0.4223306873012298,0.3142000032064237,0.3958171081344063,-0.4352167513138526,-0.3873023542428593,0.1553386253975404,0.37159999358715257,0.20836578373118742,0,2,10,-0.02050473186119872,0
8,2000-10-03,80.5,82.875,77.5,77.625,322900.0,1.0,-0.534883720930133,0.44186046511619687,0.0015527950310559005,0.023255813953484045,-0.9534883720928459,1.0450885668276972,1.1626409017713366,0.964573268921095,0.7085346215780999,0.642512077294686,0.998389694041868,1.0693236714975844,1.143196457326892,1.0345947396672035,0.8672403435319379,0.016223382994855314,0.08649177842934153,0.1082268599246741,0.18909879599052568,0.22088962061069298,0.009017713365539453,0.016264090177133657,-0.0017713365539452496,-0.00971551261406334,-0.005958132045088567,1.0209339774557167,1.2045088566827697,1.3075684380032206,1.3075684380032206,1.3075684380032206,0.9758454106280193,0.9758454106280193,0.9758454106280193,0.6892109500805152,0.5563607085346216,1.0054750402576489,1.1581320450885668,1.2342995169082125,1.2119162640901773,1.1223832528180355,0.9900161030595812,0.9987117552334944,1.0170692431561996,0.8988727858293076,0.6785829307568437,0.12,0.03,0.0075,0.014444444444444446,0.011944444444444445,0.0,0.0,0.3,0.5333333333333333,0.7666666666666667,0.2,0.6,0.8,0.03333333333333333,0.26666666666666666,-0.2,-0.6,-0.5,0.5,0.5,0.4,0.3,0.4,0.5666666666666667,0.5166666666666667,0.6,0.7,0.6,0.43333333333333335,0.48333333333333334,-0.19999999999999996,-0.39999999999999997,-0.19999999999999996,0.1333333333333333,0.03333333333333338,0.3627140506841075,0.2779955587629234,0.5399645033732915,0.6604681217421238,0.594486383851546,0.6372859493158924,0.7220044412370765,0.4600354966267085,0.33953187825787623,0.40551361614845405,-0.274571898631785,-0.44400888247415315,0.07992900674658299,0.32093624348424754,0.1889727677030919,1,3,10,-0.03703703703703709,0
9,2000-10-04,76.375,76.6875,71.0,74.75,346800.0,1.0,-0.28571428571423546,0.054945054945045285,0.049099836333878884,0.6593406593405434,0.31868131868126265,1.0133779264214047,1.2508361204013378,1.1103678929765886,0.7474916387959866,0.6471571906354515,1.0341137123745818,1.0853678929765886,1.1816471571906355,1.082803790412486,0.9064764548494985,0.02182258229800671,0.08083309266091084,0.11888081416933273,0.1870683548327525,0.2272912158927523,0.0026755852842809363,0.02508361204013378,0.005518394648829431,-0.008416945373467112,-0.005880713489409142,1.060200668896321,1.2307692307692308,1.3578595317725752,1.3578595317725752,1.3578595317725752,1.0,1.0,1.0,0.7157190635451505,0.5777591973244147,1.0441471571906353,1.165551839464883,1.2817725752508362,1.2585284280936455,1.1655518394648832,1.025418060200669,1.0280936454849499,1.0397993311036788,0.9518394648829432,0.7068561872909699,0.04,0.01,0.0025,0.01,0.010833333333333334,0.4,0.2,0.25,0.5,0.75,0.8,0.9,0.95,0.0,0.25,-0.4,-0.7,-0.7,0.5,0.5,0.4,0.2,0.35,0.5333333333333333,0.5166666666666667,0.6,0.8,0.65,0.4666666666666667,0.48333333333333334,-0.19999999999999996,-0.6000000000000001,-0.30000000000000004,0.06666666666666665,0.03333333333333338,0.4513741808198993,0.16619469089730293,0.44425313473079503,0.636247034743951,0.5931021470993605,0.5486258191801008,0.8338053091026971,0.555746865269205,0.36375296525604905,0.4068978529006395,-0.09725163836020145,-0.6676106182053941,-0.11149373053840994,0.2724940694879019,0.18620429419872098,2,4,10,0.01672240802675584,1
