Date,adjopen,adjhigh,adjlow,adjclose,amount,amp,body
1999-01-05,5.3125,5.4375,5.25,5.4375,262631.25,0.035294117647240414,0.6666666666631111
1999-01-06,5.3125,5.5,5.3125,5.3125,294843.75,0.035294117647240414,0.0
1999-01-07,5.5,5.5,5.125,5.1875,266118.75,0.0681818181819876,-0.8333333333311111
1999-01-08,5.1875,5.4375,5.1875,5.1875,78850.0,0.04819277108452082,0.0
1999-01-11,5.125,5.25,5.0,5.0625,232875.0,0.048780487805063645,-0.24999999999900002
1999-01-12,5.0625,5.25,5.0,5.0,96000.0,0.04938271604957049,-0.24999999999900002
1999-01-13,5.0,5.125,4.875,4.875,109200.0,0.05000000000019,-0.49999999999800004
1999-01-14,4.9375,5.125,4.6875,4.75,488300.0,0.08860759493689344,-0.428571428570449
1999-01-15,4.6875,4.875,4.4375,4.5,334350.0,0.09333333333352675,-0.428571428570449
1999-01-19,4.75,4.875,4.5625,4.875,148687.5,0.0657894736844072,0.39999999999872005
1999-01-20,5.0,5.0,4.7813,4.9375,76037.5,0.04374000000019128,-0.2857796067659542
1999-01-21,5.0,5.0,4.75,4.875,78000.0,0.05000000000019,-0.49999999999800004
1999-01-22,5.0,5.0,4.875,4.9375,42956.25,0.025000000000195,-0.499999999996
1999-01-25,4.9688,5.0,4.5,4.875,279825.0,0.10062791820980908,-0.18759999999962457
1999-01-26,4.875,4.875,4.5625,4.75,209950.0,0.06410256410275608,-0.39999999999872005
1999-01-27,4.5625,4.8125,4.4375,4.5,726750.0,0.08219178082211896,-0.16666666666622224
1999-01-28,4.5,4.5625,4.375,4.4375,533387.5,0.04166666666687963,-0.33333333333155557
1999-01-29,4.4375,4.625,4.4063,4.5625,158318.75,0.04928450704246779,0.5715592135319084
1999-02-01,4.625,4.75,4.3125,4.4375,237850.0,0.09459459459479035,-0.428571428570449
1999-02-02,4.375,4.375,4.0,4.25,1097350.0,0.08571428571449469,-0.33333333333244447
1999-02-03,4.125,4.375,4.125,4.375,287437.5,0.06060606060628833,0.9999999999960001
1999-02-04,4.375,4.5625,4.0,4.4375,299531.25,0.12857142857162776,0.11111111111091358
1999-02-05,4.0,4.625,3.9375,4.625,375087.5,0.17187500000020703,0.9090909090895868
1999-02-08,4.625,5.125,4.5,5.125,636525.0,0.13513513513532213,0.7999999999987201
1999-02-09,5.375,5.625,4.75,5.25,793275.0,0.16279069767457435,-0.1428571428569796
1999-02-10,5.3125,5.375,4.875,4.9375,398456.25,0.09411764705899404,-0.7499999999985001
