,Date,open,high,low,close,volume,adjfactor,kmid2,kup2,klow,klow2,ksft2,roc_5,roc_10,roc_20,roc_30,roc_60,ma_5,ma_10,ma_20,ma_30,ma_60,std_5,std_10,std_20,std_30,std_60,beta_5,beta_10,beta_20,beta_30,beta_60,max_5,max_10,max_20,max_30,max_60,min_5,min_10,min_20,min_30,min_60,qtlu_5,qtlu_10,qtlu_20,qtlu_30,qtlu_60,qtld_5,qtld_10,qtld_20,qtld_30,qtld_60,rank_5,rank_10,rank_20,rank_30,rank_60,imax_5,imax_10,imax_20,imax_30,imax_60,imin_5,imin_10,imin_20,imin_30,imin_60,imxd_5,imxd_10,imxd_20,imxd_30,imxd_60,cntp_5,cntp_10,cntp_20,cntp_30,cntp_60,cntn_5,cntn_10,cntn_20,cntn_30,cntn_60,cntd_5,cntd_10,cntd_20,cntd_30,cntd_60,sump_5,sump_10,sump_20,sump_30,sump_60,sumn_5,sumn_10,sumn_20,sumn_30,sumn_60,sumd_5,sumd_10,sumd_20,sumd_30,sumd_60,weekday,day,month,ret1,mov1
0,2002-08-19,12.95,13.78,12.85,13.75,148200.0,1.0,0.860215053762517,0.03225806451609367,0.007722007722007695,0.10752688172031415,0.9354838709667375,0.7709090909090909,0.7890909090909091,1.192,1.1970909090909092,1.2181818181818183,0.8928,0.8429818181818182,0.8978581818181818,0.9936266666666665,1.044038787878788,0.08066598820377874,0.07622494379750873,0.11820999878957811,0.16991819088216095,0.14805389127468524,-0.04581818181818182,-0.021090909090909094,0.009600000000000003,0.006569696969696972,0.0036363636363636364,1.0,1.0,1.1672727272727272,1.2923636363636364,1.2996363636363637,0.7869090909090909,0.7709090909090909,0.7709090909090909,0.7709090909090909,0.7709090909090909,0.9435636363636364,0.9050181818181817,0.9767272727272727,1.1723636363636365,1.1787636363636362,0.8363636363636363,0.7844363636363636,0.7914181818181818,0.806690909090909,0.9058909090909091,0.2,0.1,0.042499999999999996,0.01888888888888889,0.006944444444444445,0.8,0.9,0.0,0.1,0.4666666666666667,0.0,0.0,0.4,0.6,0.8,0.8,0.9,-0.4,-0.5,-0.3333333333333333,1.0,0.7,0.5,0.5,0.5,0.0,0.3,0.5,0.5,0.5,1.0,0.39999999999999997,0.0,0.0,0.0,0.9999999999962732,0.8220666401403793,0.42874303933144275,0.44890748471729053,0.4761756506202985,3.7267966490617255e-12,0.17793335985962067,0.5712569606685572,0.5510925152827095,0.5238243493797015,0.9999999999925464,0.6441332802807587,-0.1425139213371145,-0.10218503056541894,-0.04764869875940303,0,19,8,-0.036363636363636376,0
1,2002-08-20,13.79,13.9118,12.9,13.25,181535.0,1.0,-0.5337023127094939,0.12037952164447525,0.025380710659898453,0.34591816564504246,-0.3081636687089266,0.8166037735849057,0.8037735849056604,1.211320754716981,1.2264150943396226,1.278490566037736,0.9631698113207547,0.8944150943396227,0.9211735849056603,1.0235748427672955,1.078794968553459,0.06047963036309728,0.08372971824470403,0.1051753443126405,0.17248670340210462,0.15184446303145827,-0.036679245283018864,-0.01962264150943396,0.010566037735849059,0.007547169811320755,0.004641509433962266,1.0377358490566038,1.0377358490566038,1.1773584905660377,1.341132075471698,1.348679245283019,0.8807547169811321,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,1.0075471698113208,0.9716226415094339,1.001509433962264,1.2119245283018867,1.222098113207547,0.9224150943396227,0.828679245283019,0.8212830188679245,0.837132075471698,0.9400754716981131,0.16,0.09,0.04,0.017777777777777778,0.005277777777777778,0.8,0.9,0.0,0.06666666666666667,0.45,0.0,0.0,0.35,0.5666666666666667,0.7833333333333333,0.8,0.9,-0.35,-0.5,-0.3333333333333333,0.8,0.7,0.5,0.5,0.48333333333333334,0.2,0.3,0.5,0.5,0.5166666666666667,0.6000000000000001,0.39999999999999997,0.0,0.0,-0.03333333333333338,0.8719266711937477,0.7853311363803966,0.4218030460288433,0.44076996199284385,0.46658883232806264,0.12807332880625233,0.21466886361960336,0.5781969539711567,0.5592300380071562,0.5334111676719373,0.7438533423874953,0.5706622727607933,-0.15639390794231345,-0.1184600760143123,-0.06682233534387472,1,20,8,0.023396226415094423,1
2,2002-08-21,13.349,13.6,12.86,13.56,198550.0,1.0,0.28513513513475014,0.05405405405397984,0.03663195744999631,0.6608108108099187,0.891891891890689,0.8606194690265486,0.8193215339233038,1.1504424778761062,1.2013274336283184,1.1946902654867255,0.9690265486725663,0.8920353982300885,0.8925921828908554,0.9934636184857422,1.0508874139626352,0.04201922268085389,0.0881145517484688,0.08791640314704961,0.16421034980491186,0.1473725768674119,-0.027876106194690276,-0.018067846607669625,0.007522123893805307,0.006710914454277283,0.0032448377581120926,1.0140117994100295,1.0140117994100295,1.0700589970501475,1.3104719764011798,1.3178466076696165,0.911504424778761,0.7817109144542772,0.7817109144542772,0.7817109144542772,0.7817109144542772,1.002802359882006,0.9817109144542772,0.9786135693215339,1.1806784660766962,1.191607669616519,0.9362831858407079,0.8097345132743363,0.8025073746312684,0.8179941002949851,0.9185840707964601,0.16,0.09,0.045,0.02,0.006666666666666667,0.6,0.8,0.0,0.03333333333333333,0.43333333333333335,0.0,0.0,0.3,0.5333333333333333,0.7666666666666667,0.6,0.8,-0.3,-0.5,-0.3333333333333333,0.8,0.7,0.55,0.5,0.5,0.2,0.3,0.45,0.5,0.5,0.6000000000000001,0.39999999999999997,0.10000000000000003,0.0,0.0,0.8410445775265373,0.7741904183923652,0.4482051967542484,0.4496181423713773,0.48024900349537064,0.15895542247346273,0.22580958160763476,0.5517948032457516,0.5503818576286227,0.5197509965046294,0.6820891550530745,0.5483808367847305,-0.10358960649150317,-0.10076371525724537,-0.03950199300925872,2,21,8,0.015486725663716783,1
3,2002-08-22,13.63,13.99,13.01,13.77,211757.0,1.0,0.1428571428569958,0.22448979591813883,0.04548789435069706,0.632653061223845,0.5510204081627019,0.8976034858387799,0.8097312999273784,1.0537400145243283,1.2904865649963688,1.122004357298475,0.974727668845316,0.8974582425562818,0.8762926652142339,0.9686298717017671,1.0328274025659647,0.03015066536237507,0.09079983575926548,0.08155456591973317,0.15069055726434033,0.14473757521582506,-0.02047930283224401,-0.01902687000726216,0.0026870007262164135,0.009682885499878965,0.0020334059549745823,1.0,1.0,1.0,1.2280319535221496,1.2977487291212781,0.9281045751633987,0.7697893972403776,0.7697893972403776,0.7697893972403776,0.7697893972403776,0.9988380537400146,0.9875090777051562,0.9636891793754538,1.1485838779956428,1.1734350036310819,0.9554103122730574,0.7973856209150327,0.7902687000726216,0.805519244734931,0.9045751633986928,0.2,0.1,0.05,0.02222222222222222,0.0077777777777777776,0.8,0.9,0.0,0.0,0.4166666666666667,0.0,0.1,0.25,0.5,0.75,0.8,0.8,-0.25,-0.5,-0.3333333333333333,0.8,0.7,0.6,0.5,0.5166666666666667,0.2,0.3,0.4,0.5,0.48333333333333334,0.6000000000000001,0.39999999999999997,0.19999999999999996,0.0,0.03333333333333338,0.8035746621414823,0.781014213016295,0.49220775121928667,0.41637439227744566,0.49300039980814053,0.19642533785851768,0.21898578698370497,0.5077922487807134,0.5836256077225543,0.5069996001918595,0.6071493242829646,0.5620284260325901,-0.015584497561426658,-0.16725121544510868,-0.013999200383718935,3,22,8,0.010167029774873049,1
4,2002-08-23,13.919,13.95,13.55,13.91,171900.0,1.0,-0.022499999999944682,0.07749999999980355,0.02586392700625041,0.8999999999977518,0.7999999999980036,0.918763479511143,0.7922358015815959,0.8770668583752695,1.2156721782890008,1.0783608914450036,0.9811646297627605,0.9092020129403307,0.8736196980589503,0.9516918284208005,1.0211262880421759,0.018331430329969027,0.08919090160584868,0.08600995513366012,0.14136419989263138,0.1431194427511281,-0.0162473040977714,-0.020776419841840407,-0.006146657081236523,0.007189072609633357,0.0013060148574167265,1.0,1.0,1.0,1.1782890007189073,1.284687275341481,0.9525521207764198,0.7620416966211359,0.7620416966211359,0.7620416966211359,0.7620416966211359,0.9919482386772106,0.9887850467289719,0.9627606038820992,1.123939611790079,1.1616247304097769,0.9703810208483107,0.8267433501078361,0.7823148813803019,0.7974119338605319,0.8954708842559309,0.2,0.1,0.05,0.02333333333333333,0.008611111111111113,0.6,0.8,0.9,0.0,0.4,0.0,0.0,0.2,0.4666666666666667,0.7333333333333333,0.6,0.8,0.7,-0.4666666666666667,-0.3333333333333333,0.8,0.8,0.65,0.5333333333333333,0.5333333333333333,0.2,0.2,0.35,0.4666666666666667,0.4666666666666667,0.6000000000000001,0.6000000000000001,0.30000000000000004,0.06666666666666665,0.06666666666666665,0.7745777942147294,0.8099348745871408,0.6025591504885416,0.4379402407917377,0.5012833369742543,0.2254222057852706,0.19006512541285925,0.3974408495114584,0.5620597592082623,0.4987166630257457,0.5491555884294588,0.6198697491742815,0.20511830097708317,-0.12411951841652458,0.0025666739485086243,4,23,8,-0.025880661394680038,0
5,2002-08-26,13.95,13.95,13.13,13.55,188900.0,1.0,-0.4878048780481848,0.0,0.030107526881720425,0.5121951219505957,0.02439024390241097,1.014760147601476,0.7822878228782287,0.9055350553505535,1.1808118081180812,1.1121771217712177,1.0042804428044279,0.955129151291513,0.9015535055350552,0.9709495694956949,1.0463862238622386,0.01849735667087609,0.0762518742588361,0.09126205121660129,0.14002784973197244,0.14680837424105428,0.0029520295202951925,-0.02177121771217713,-0.004723247232472329,0.006027060270602704,0.0018696186961869614,1.0265682656826567,1.0265682656826567,1.0265682656826567,1.2095940959409595,1.3188191881918818,0.977859778597786,0.7985239852398524,0.7822878228782287,0.7822878228782287,0.7822878228782287,1.01830258302583,1.0150553505535054,1.000147601476015,1.1306273062730627,1.1924870848708484,0.9955719557195571,0.9019926199261992,0.8030996309963099,0.8185977859778596,0.9192619926199261,0.08,0.06,0.04,0.02,0.006666666666666667,0.4,0.7,0.85,0.16666666666666666,0.38333333333333336,0.2,0.0,0.15,0.43333333333333335,0.7166666666666667,0.2,0.7,0.7,-0.26666666666666666,-0.3333333333333333,0.6,0.8,0.6,0.5333333333333333,0.5166666666666667,0.4,0.2,0.4,0.4666666666666667,0.48333333333333334,0.19999999999999996,0.6000000000000001,0.19999999999999996,0.06666666666666665,0.03333333333333338,0.4407232970485444,0.8360324925968307,0.5795545706810754,0.44829336099141526,0.49484663372661636,0.5592767029514556,0.16396750740316934,0.4204454293189246,0.5517066390085847,0.5051533662733836,-0.11855340590291119,0.6720649851936613,0.15910914136215082,-0.10341327801716949,-0.010306732546767283,0,26,8,-0.09741697416974171,0
6,2002-08-27,13.55,13.55,12.01,12.23,356000.0,1.0,-0.8571428571423002,0.0,0.016236162361623663,0.14285714285705042,-0.7142857142852498,1.0834014717906786,0.884709730171709,1.046688470973017,1.2894521668029435,1.2919051512673754,1.0959934587080948,1.0697465249386755,0.9965249386753884,1.0660970291632597,1.154458980648678,0.05506207985656995,0.06341203679436475,0.10048673804204143,0.15031798212837785,0.1629859931065337,0.016680294358135724,-0.01152902698282911,0.0023344235486508574,0.009648405560098116,0.004865085854456255,1.1373671300081767,1.1373671300081767,1.1373671300081767,1.3401471790678658,1.4611610793131644,1.0,0.9542109566639411,0.8667211774325428,0.8667211774325428,0.8667211774325428,1.1282093213409647,1.1246116107931317,1.1080948487326248,1.198528209321341,1.3211937857726899,1.0863450531479968,1.0085036794766966,0.889779231398201,0.906950122649223,1.0091578086672117,0.04,0.02,0.025,0.012222222222222221,0.0030555555555555553,0.2,0.6,0.8,0.13333333333333333,0.36666666666666664,0.8,0.0,0.1,0.4,0.7,-0.6,0.6,0.7,-0.26666666666666666,-0.3333333333333333,0.6,0.7,0.55,0.5333333333333333,0.5,0.4,0.3,0.45,0.4666666666666667,0.5,0.19999999999999996,0.39999999999999997,0.10000000000000003,0.06666666666666665,0.0,0.284599129295806,0.6500773267647836,0.4897359185642284,0.41885649056992086,0.46489066747369123,0.715400870704194,0.3499226732352164,0.5102640814357716,0.5811435094300792,0.5351093325263088,-0.430801741408388,0.30015465352956716,-0.020528162871543243,-0.16228701886015828,-0.07021866505261753,1,27,8,-0.010629599345870822,0
7,2002-08-28,12.06,12.46,11.55,12.1,162500.0,1.0,0.04395604395599471,0.39560439560396216,0.04228855721393033,0.5604395604389443,0.20879120879097682,1.1206611570247935,0.9644628099173554,1.103305785123967,1.2603305785123968,1.2933884297520661,1.0836363636363637,1.084793388429752,1.0020661157024793,1.0688732782369146,1.1619724517906336,0.07232797976807963,0.05755031269769946,0.09901811074552137,0.1485297926817438,0.16527119978883265,0.024132231404958692,-0.0035537190082644606,0.005165289256198347,0.008677685950413225,0.004889807162534436,1.1495867768595043,1.1495867768595043,1.1495867768595043,1.3545454545454547,1.4768595041322314,1.0,1.0,0.8760330578512396,0.8760330578512396,0.8760330578512396,1.1403305785123967,1.136694214876033,1.12,1.159504132231405,1.335388429752066,1.0085950413223141,1.0193388429752066,0.8993388429752066,0.916694214876033,1.0133884297520661,0.04,0.01,0.025,0.01111111111111111,0.0027777777777777775,0.0,0.5,0.75,0.1,0.35,0.8,0.9,0.05,0.36666666666666664,0.6833333333333333,-0.8,-0.4,0.7,-0.26666666666666666,-0.3333333333333333,0.4,0.6,0.5,0.5333333333333333,0.5,0.6,0.4,0.5,0.4666666666666667,0.5,-0.19999999999999996,0.19999999999999996,0.0,0.06666666666666665,0.0,0.16075696348508553,0.5614984417412802,0.4558275236581418,0.42639017787557615,0.4646731027667923,0.8392430365149145,0.43850155825871984,0.5441724763418583,0.5736098221244239,0.5353268972332077,-0.678486073029829,0.12299688348256033,-0.08834495268371645,-0.1472196442488477,-0.0706537944664154,2,28,8,0.045454545454545414,1
8,2002-08-29,11.66,12.91,11.54,12.65,171100.0,1.0,0.7226277372257495,0.18978102189767138,0.01029159519725566,0.08759124087584913,0.6204379562039273,1.0885375494071146,0.9770750988142292,0.9865612648221344,1.2719367588932806,1.2695652173913041,1.0188142292490119,1.0399209486166008,0.9591699604743082,1.0133359683794467,1.1069591567852437,0.06365084655853527,0.052672258344536066,0.09496986928598476,0.13405060897617369,0.15734454414790758,0.017707509881422914,-0.0022924901185770825,-0.0006719367588932804,0.00906455862977602,0.004492753623188404,1.099604743083004,1.099604743083004,1.099604743083004,1.2956521739130435,1.4126482213438736,0.9565217391304347,0.9565217391304347,0.8379446640316205,0.8379446640316205,0.8379446640316205,1.0768379446640315,1.0872727272727272,1.071304347826087,1.0907509881422925,1.2773280632411064,0.9647430830039526,0.9933596837944665,0.8602371541501975,0.8768379446640315,0.9693280632411068,0.12,0.03,0.0325,0.017777777777777778,0.0044444444444444444,0.0,0.4,0.7,0.06666666666666667,0.3333333333333333,0.8,0.9,0.0,0.3333333333333333,0.6666666666666666,-0.8,-0.5,0.7,-0.26666666666666666,-0.3333333333333333,0.4,0.6,0.55,0.5333333333333333,0.5,0.6,0.4,0.45,0.4666666666666667,0.5,-0.19999999999999996,0.19999999999999996,0.10000000000000003,0.06666666666666665,0.0,0.2934419645690624,0.5454981077285597,0.5256959348397863,0.4219101683828103,0.4688866740104827,0.7065580354309375,0.45450189227144033,0.47430406516021373,0.5780898316171896,0.5311133259895173,-0.4131160708618752,0.09099621545711933,0.051391869679572544,-0.15617966323437937,-0.06222665197903465,3,29,8,0.036363636363636376,1
9,2002-08-30,12.8,13.48,12.52,13.11,151700.0,1.0,0.3229166666663287,0.3854166666662659,0.02187500000000009,0.29166666666636376,0.22916666666642657,1.061022120518688,0.9748283752860412,0.8306636155606408,1.238749046529367,1.2623951182303585,0.9708619374523265,1.0059496567505721,0.9339816933638445,0.9698220188151538,1.0637452326468344,0.04624212647952707,0.04986430003331748,0.0902245891694478,0.11972358084846793,0.14989966187429152,0.012204424103737616,-0.002517162471395882,-0.00846681922196796,0.007958301550978895,0.0043732519705059775,1.0335621662852785,1.061022120518688,1.061022120518688,1.250190694126621,1.363081617086194,0.9229595728451564,0.9229595728451564,0.8085430968726164,0.8085430968726164,0.8085430968726164,1.0067124332570558,1.0491228070175438,1.0337147215865752,1.0491228070175438,1.2282227307398932,0.9308924485125859,0.9585049580472922,0.8379862700228833,0.8460717009916094,0.9353165522501907,0.16,0.04,0.034999999999999996,0.021111111111111112,0.005833333333333333,0.0,0.3,0.65,0.03333333333333333,0.31666666666666665,0.6,0.8,0.05,0.3,0.65,-0.6,-0.5,0.6,-0.26666666666666666,-0.3333333333333333,0.4,0.6,0.6,0.5333333333333333,0.5,0.6,0.4,0.4,0.4666666666666667,0.5,-0.19999999999999996,0.19999999999999996,0.19999999999999996,0.06666666666666665,0.0,0.3792348549437532,0.5483706099855593,0.6480866952633976,0.4343194759478273,0.4701542864976809,0.6207651450562468,0.4516293900144407,0.35191330473660243,0.5656805240521727,0.5298457135023191,-0.2415302901124936,0.09674121997111862,0.29617339052679514,-0.13136104810434535,-0.05969142700463825,4,30,8,-0.011517925247902405,0
