,Date,open,high,low,close,volume,adjfactor,kmid2,kup2,klow,klow2,ksft2,roc_5,roc_10,roc_20,roc_30,roc_60,ma_5,ma_10,ma_20,ma_30,ma_60,std_5,std_10,std_20,std_30,std_60,beta_5,beta_10,beta_20,beta_30,beta_60,max_5,max_10,max_20,max_30,max_60,min_5,min_10,min_20,min_30,min_60,qtlu_5,qtlu_10,qtlu_20,qtlu_30,qtlu_60,qtld_5,qtld_10,qtld_20,qtld_30,qtld_60,rank_5,rank_10,rank_20,rank_30,rank_60,imax_5,imax_10,imax_20,imax_30,imax_60,imin_5,imin_10,imin_20,imin_30,imin_60,imxd_5,imxd_10,imxd_20,imxd_30,imxd_60,cntp_5,cntp_10,cntp_20,cntp_30,cntp_60,cntn_5,cntn_10,cntn_20,cntn_30,cntn_60,cntd_5,cntd_10,cntd_20,cntd_30,cntd_60,sump_5,sump_10,sump_20,sump_30,sump_60,sumn_5,sumn_10,sumn_20,sumn_30,sumn_60,sumd_5,sumd_10,sumd_20,sumd_30,sumd_60,weekday,day,month,ret1,mov1
0,2012-10-22,60.12,61.1,60.0,60.0,515603.0,1,-0.10909090909080744,0.8909090909082834,0.0,0.0,-0.9999999999990908,1.0925,1.0345,1.1318333333333332,1.073,0.8855000000000001,1.0433,1.0431,1.06075,1.0896216666666667,1.0496247222222221,0.046500657104079426,0.037023616086872976,0.04146842313084847,0.057517362221302853,0.07565243279917554,0.018499999999999992,0.0034500000000000004,0.006591666666666664,0.0024333333333333308,-0.0019083333333333326,1.0928333333333333,1.0928333333333333,1.153,1.1958333333333333,1.1958333333333333,1.0,1.0,1.0,1.0,0.8584999999999999,1.0918999999999999,1.0918333333333334,1.0918333333333334,1.1372666666666666,1.1086666666666667,1.0002666666666669,1.0128666666666666,1.0257333333333334,1.0324666666666666,0.9977333333333334,0.04,0.01,0.0025,0.0011111111111111111,0.0038888888888888888,0.2,0.6,0.0,0.03333333333333333,0.5166666666666667,0.6,0.8,0.9,0.9333333333333333,0.0,-0.4,-0.2,-0.9,-0.9,0.5166666666666667,0.2,0.3,0.35,0.4,0.4666666666666667,0.8,0.7,0.65,0.6,0.5333333333333333,-0.6000000000000001,-0.39999999999999997,-0.30000000000000004,-0.19999999999999996,-0.06666666666666665,0.0035054351987706994,0.4148963866619619,0.35266832510560187,0.46118082769569724,0.5508523180994155,0.9964945648012293,0.5851036133380381,0.6473316748943981,0.5388191723043028,0.4491476819005845,-0.9929891296024586,-0.17020722667607624,-0.29466334978879627,-0.07763834460860553,0.10170463619883097,0,22,10,-0.004166666666666652,0
1,2012-10-23,60.0,60.15,57.53,59.75,887167.0,1,-0.09541984732820795,0.05725190839692423,0.036999999999999984,0.8473282442744862,0.6946564885493539,1.0974058577405856,1.0369874476987448,1.1578242677824269,1.1745439330543934,0.862092050209205,1.02818410041841,1.0437656903765689,1.0572970711297072,1.088362622036262,1.0563149232914923,0.04068797897659419,0.04006450878832223,0.03795400282596755,0.05817332413639537,0.07204890102596882,0.019481171548117134,0.0036987447698744783,0.007891213389121344,0.005818131101813112,-0.0022984658298465833,1.096234309623431,1.0974058577405856,1.1380753138075315,1.200836820083682,1.200836820083682,1.0,1.0,1.0,1.0,0.9168200836820084,1.0480334728033471,1.0964016736401674,1.0904769874476985,1.1378075313807532,1.113305439330544,1.003347280334728,1.0044518828451883,1.0266778242677825,1.034878661087866,1.001907949790795,0.04,0.01,0.0025,0.0011111111111111111,0.0030555555555555553,0.0,0.5,0.0,0.0,0.5,0.8,0.9,0.95,0.9666666666666667,0.0,-0.8,-0.4,-0.95,-0.9666666666666667,0.5,0.0,0.3,0.3,0.36666666666666664,0.4666666666666667,1.0,0.7,0.7,0.6333333333333333,0.5333333333333333,-1.0,-0.39999999999999997,-0.39999999999999997,-0.26666666666666666,-0.06666666666666665,0.0,0.4094184575362666,0.3171305625905375,0.37997857724880935,0.5605806213905704,1.0,0.5905815424637334,0.6828694374094625,0.6200214227511907,0.4394193786094296,-1.0,-0.1811630849274668,-0.365738874818925,-0.2400428455023813,0.12116124278114082,1,23,10,0.0,0
2,2012-10-24,60.5,60.54,58.89,59.75,334009.0,1,-0.4545454545451794,0.024242424242409053,0.014214876033057842,0.5212121212118054,0.04242424242421692,1.096234309623431,1.028284518828452,1.1380753138075315,1.1715481171548117,0.9288702928870293,1.0089372384937239,1.0409372384937239,1.0503933054393306,1.0826443514644353,1.0575004184100418,0.015275393666018534,0.04221933648768811,0.03492413622902798,0.05814580407558462,0.07048458384757347,0.019246861924686193,0.0028284518828451846,0.006903765690376569,0.005718270571827057,-0.001185495118549512,1.0359832635983264,1.0974058577405856,1.0974058577405856,1.200836820083682,1.200836820083682,1.0,1.0,1.0,1.0,0.9168200836820084,1.0108117154811715,1.0964016736401674,1.0887698744769876,1.1368033472803345,1.113305439330544,1.0,1.003347280334728,1.0171046025104602,1.0300251046025104,1.001907949790795,0.06,0.015,0.00375,0.0016666666666666668,0.0029166666666666664,0.0,0.4,0.0,0.06666666666666667,0.48333333333333334,0.6,0.8,0.9,0.9333333333333333,0.06666666666666667,-0.6,-0.4,-0.9,-0.8666666666666667,0.4166666666666667,0.0,0.3,0.3,0.36666666666666664,0.45,0.8,0.6,0.65,0.6,0.5333333333333333,-0.8,-0.3,-0.35000000000000003,-0.23333333333333334,-0.08333333333333331,0.0,0.42928413630840717,0.3319529154263373,0.381544791109015,0.5364939257332798,1.0,0.5707158636915928,0.6680470845736627,0.6184552088909849,0.4635060742667202,-1.0,-0.14143172738318566,-0.3360941691473254,-0.23691041778196997,0.07298785146655962,2,24,10,-0.028451882845188292,0
3,2012-10-25,60.12,60.12,57.7,58.05,444116.0,1,-0.8553719008260948,0.0,0.005821689953426386,0.14462809917349193,-0.7107438016526029,1.066322136089578,1.0501291989664083,1.1205857019810508,1.2301464254952628,1.0155038759689923,1.025219638242894,1.06640826873385,1.0751248923341947,1.1066781510192363,1.088211024978467,0.014275482171125667,0.048753291640400896,0.038970645528766425,0.05924095122964018,0.07284004449234839,0.013264427217915594,0.005012919896640833,0.006029285099052541,0.007671547516508757,0.0002583979328165391,1.0339362618432386,1.1295434969853575,1.1295434969853575,1.2360034453057709,1.2360034453057709,1.0,1.0,1.0,1.0,0.9436692506459949,1.0336606373815675,1.1285099052540914,1.1152799310938846,1.1571748492678724,1.1459086993970715,1.0234280792420327,1.029285099052541,1.033867355727821,1.0567441860465117,1.0312489233419466,0.04,0.01,0.0025,0.0011111111111111111,0.0025,0.0,0.3,0.65,0.03333333333333333,0.4666666666666667,0.4,0.7,0.85,0.9,0.05,-0.4,-0.4,-0.2,-0.8666666666666667,0.4166666666666667,0.0,0.3,0.3,0.3333333333333333,0.43333333333333335,0.8,0.6,0.65,0.6333333333333333,0.55,-0.8,-0.3,-0.35000000000000003,-0.3,-0.1166666666666667,0.0,0.383519669606511,0.34611310694881553,0.3443695456772223,0.504540869224228,1.0,0.6164803303934889,0.6538868930511845,0.6556304543227778,0.49545913077577197,-1.0,-0.23296066078697797,-0.30777378610236894,-0.31126090864555545,0.009081738448456056,3,25,10,-0.030146425495262696,0
4,2012-10-26,58.65,58.65,56.2,56.3,866683.0,1,-0.9591836734689985,0.0,0.0017050298380220685,0.04081632653059333,-0.9183673469384052,1.06607460035524,1.1182948490230906,1.1371225577264654,1.2564831261101244,1.063587921847247,1.043872113676732,1.0877264653641208,1.1016873889875667,1.1325281231497928,1.1209766133806986,0.028158495752645646,0.05859784404860683,0.04628405206583552,0.06230964269328662,0.0763807128651909,0.013214920071047978,0.011829484902309065,0.0068561278863232674,0.008549437537004143,0.0010597986974541164,1.0657193605683837,1.1646536412078152,1.1646536412078152,1.2744227353463589,1.2744227353463589,1.0,1.0,1.0,1.0,0.9730017761989344,1.0621669626998225,1.1635879218472471,1.1499467140319715,1.1843339253996448,1.1815275310834814,1.024866785079929,1.0552397868561278,1.0648312611012434,1.0794316163410302,1.0619893428063945,0.04,0.01,0.0025,0.0011111111111111111,0.0016666666666666668,0.0,0.2,0.6,0.0,0.45,0.8,0.9,0.95,0.9666666666666667,0.03333333333333333,-0.8,-0.7,-0.35,-0.9666666666666667,0.4166666666666667,0.0,0.2,0.3,0.3333333333333333,0.4166666666666667,0.8,0.7,0.65,0.6333333333333333,0.5666666666666667,-0.8,-0.49999999999999994,-0.35000000000000003,-0.3,-0.14999999999999997,0.0,0.21704208330152663,0.33251602333892766,0.33333277194585814,0.4880201299403367,1.0,0.7829579166984734,0.6674839766610723,0.6666672280541419,0.5119798700596633,-1.0,-0.5659158333969467,-0.3349679533221447,-0.3333344561082837,-0.023959740119326556,4,26,10,-0.023445825932504438,0
5,2012-10-31,56.4,57.19,54.0,54.98,1132805.0,1,-0.4451410658305823,0.2476489028212389,0.01737588652482264,0.3072100313478653,-0.3855799373039559,1.0913059294288834,1.192251727901055,1.1760640232811932,1.305020007275373,1.0367406329574391,1.0506729719898145,1.094616224081484,1.1193343033830483,1.1495513520067904,1.147277494846611,0.038437584027784015,0.0628231126462174,0.05392600618784687,0.06415495638743456,0.07923660003480862,0.01826118588577666,0.019225172790105494,0.008803201164059658,0.010167333575845764,0.0006123438826239855,1.0867588213895962,1.1926154965441977,1.1926154965441977,1.2582757366315025,1.305020007275373,1.0,1.0,1.0,1.0,0.9963623135685704,1.0867588213895962,1.138959621680611,1.1704256093124772,1.1963623135685704,1.2098945070934886,1.0192069843579483,1.0494725354674428,1.0867588213895962,1.0915969443433977,1.0874863586758823,0.04,0.01,0.0025,0.0011111111111111111,0.0008333333333333334,0.2,0.1,0.55,0.16666666666666666,0.43333333333333335,0.8,0.9,0.95,0.9666666666666667,0.016666666666666666,-0.6,-0.8,-0.4,-0.8,0.4166666666666667,0.0,0.1,0.25,0.3,0.4166666666666667,0.8,0.8,0.7,0.6666666666666666,0.5666666666666667,-0.8,-0.7000000000000001,-0.44999999999999996,-0.36666666666666664,-0.14999999999999997,0.0,0.0017610992007842123,0.29421546575936475,0.30695153573926914,0.4968065528777851,1.0,0.9982389007992157,0.7057845342406353,0.6930484642607309,0.5031934471222149,-1.0,-0.9964778015984316,-0.4115690684812705,-0.3860969285214617,-0.0063868942444298415,2,31,10,0.02200800291014926,1
6,2012-11-01,55.75,57.03,54.45,56.19,804778.0,1,0.17054263565884786,0.32558139534871255,0.023318385650224163,0.503875968992052,0.3488372093021873,1.0633564691226198,1.166933618081509,1.1420181526962094,1.185264281900694,0.9788218544224951,1.0153764014949278,1.054351308061933,1.0881295604200036,1.11862134424868,1.1229248976686246,0.03314801407232616,0.054846577374312686,0.05561596387134347,0.06566594396320646,0.07691050625429932,0.012671293824523946,0.016693361808150908,0.007100907634810468,0.006175476063356468,-0.00035296909295841426,1.0633564691226198,1.1656878448122443,1.166933618081509,1.231179925253604,1.2769176009966188,0.9784659192027051,0.9784659192027051,0.9784659192027051,0.9784659192027051,0.9749065670048052,1.0391528741768998,1.0748531767218368,1.1321231535860474,1.1666488699056772,1.183840541021534,0.9956931838405411,1.001566114967076,1.0573055703861898,1.0669158213205197,1.0640683395621997,0.08,0.02,0.005,0.0022222222222222222,0.0016666666666666668,0.0,0.0,0.5,0.13333333333333333,0.4166666666666667,0.6,0.8,0.9,0.9333333333333333,0.0,-0.6,-0.8,-0.4,-0.8,0.4166666666666667,0.2,0.1,0.3,0.3333333333333333,0.43333333333333335,0.6,0.8,0.65,0.6333333333333333,0.55,-0.39999999999999997,-0.7000000000000001,-0.35000000000000003,-0.3,-0.1166666666666667,0.21150937891078,0.11288877023137321,0.33950467866254846,0.36834798878991726,0.5178277535236888,0.78849062108922,0.8871112297686268,0.6604953213374516,0.6316520112100827,0.4821722464763112,-0.5769812421784399,-0.7742224595372535,-0.32099064267490307,-0.2633040224201655,0.03565550704737763,3,1,11,-0.02829684997330484,0
7,2012-11-02,56.45,56.75,54.27,54.6,492142.0,1,-0.7459677419351846,0.1209677419354341,0.005845881310894567,0.13306451612897807,-0.7338709677416406,1.0943223443223442,1.1996336996336996,1.1584249084249083,1.187912087912088,1.0465201465201466,1.0260805860805862,1.0650915750915753,1.1118956043956043,1.1449328449328449,1.154850122100122,0.024786452600165487,0.045696792437900355,0.06234573695926507,0.07258120368391144,0.08045419939585663,0.01886446886446886,0.019963369963369962,0.007921245421245419,0.006263736263736263,0.0007753357753357751,1.0631868131868132,1.1336996336996337,1.2009157509157509,1.2670329670329672,1.314102564102564,1.0,1.0,1.0,1.0,1.0,1.0375457875457874,1.0989743589743588,1.1608424908424908,1.2006227106227105,1.2183150183150182,1.0055677655677655,1.0246886446886447,1.0567765567765566,1.0943223443223442,1.095054945054945,0.04,0.01,0.0025,0.0011111111111111111,0.0002777777777777778,0.0,0.0,0.45,0.1,0.4,0.4,0.7,0.85,0.9,0.016666666666666666,-0.4,-0.7,-0.4,-0.8,0.38333333333333336,0.2,0.1,0.3,0.3333333333333333,0.4166666666666667,0.8,0.8,0.65,0.6333333333333333,0.5666666666666667,-0.6000000000000001,-0.7000000000000001,-0.35000000000000003,-0.3,-0.14999999999999997,0.16628765646671703,0.09905381917403673,0.32783576916163076,0.3670360118978355,0.4929931358408778,0.8337123435332829,0.9009461808259632,0.6721642308383693,0.6329639881021645,0.5070068641591222,-0.6674246870665659,-0.8018923616519266,-0.3443284616767385,-0.26592797620432895,-0.014013728318244434,4,2,11,0.0219780219780219,1
8,2012-11-05,55.0,56.71,54.34,55.8,647499.0,1,0.33755274261589047,0.38396624472557833,0.011999999999999938,0.2784810126581092,0.23206751054842134,1.0403225806451613,1.1093189964157706,1.1661290322580644,1.2182795698924733,1.006810035842294,0.9959498207885304,1.0312544802867383,1.0796774193548389,1.1130346475507766,1.1299011350059738,0.013468072810884777,0.03954177427483828,0.06111467642745483,0.07181422793141355,0.07890933394075797,0.008064516129032258,0.010931899641577064,0.008306451612903222,0.007275985663082441,0.00011350059737156588,1.0089605734767024,1.0756272401433693,1.175089605734767,1.2397849462365593,1.2858422939068102,0.9784946236559141,0.9784946236559141,0.9784946236559141,0.9784946236559141,0.9784946236559141,1.0073835125448027,1.07168458781362,1.1155555555555556,1.1740143369175629,1.1921146953405017,0.9839426523297491,0.9970609318996415,1.0085663082437277,1.0646953405017923,1.071505376344086,0.12,0.03,0.0075,0.0033333333333333335,0.0016666666666666668,0.0,0.0,0.4,0.06666666666666667,0.38333333333333336,0.2,0.6,0.8,0.8666666666666667,0.0,-0.2,-0.6,-0.4,-0.8,0.38333333333333336,0.4,0.2,0.3,0.3333333333333333,0.43333333333333335,0.6,0.7,0.65,0.6333333333333333,0.55,-0.19999999999999996,-0.49999999999999994,-0.35000000000000003,-0.3,-0.1166666666666667,0.34944175378023523,0.23248616136377515,0.3163963897627588,0.33868710389981294,0.5073758485176452,0.6505582462197648,0.7675138386362248,0.6836036102372411,0.6613128961001871,0.49262415148235483,-0.30111649243952954,-0.5350276772724497,-0.3672072204744824,-0.32262579220037413,0.014751697035290334,0,5,11,-0.006810035842293782,0
9,2012-11-06,55.8,56.62,54.5,55.42,360153.0,1,-0.17924528301878143,0.3867924528300068,0.01648745519713265,0.43396226415074,-0.13207547169804826,1.015878744135691,1.0830025261638399,1.1109707686755683,1.2087693973294837,0.9942259112233851,0.9996030313966078,1.0300252616383974,1.0815319379285455,1.1137074461686514,1.1377447973054253,0.011415182847297325,0.03807809503214586,0.06421105030942982,0.07357020595839363,0.07927703572648762,0.0031757488271382008,0.00830025261638398,0.005548538433778417,0.006958979910982793,-9.623481294358242e-05,1.0138939011187296,1.0826416456153014,1.183146878383255,1.2482858173944424,1.2946589678816312,0.9852038975099242,0.9852038975099242,0.9852038975099242,0.9852038975099242,0.9852038975099242,1.00826416456153,1.078130638758571,1.1232046192710214,1.1756766510285093,1.2002887044388306,0.9906892818477083,0.9984121255864309,1.0124864669794298,1.0411403825333814,1.0788523998556476,0.12,0.03,0.0075,0.0033333333333333335,0.0013888888888888887,0.0,0.0,0.35,0.03333333333333333,0.36666666666666664,0.0,0.5,0.75,0.8333333333333334,0.016666666666666666,0.0,-0.5,-0.4,-0.8,0.35,0.4,0.2,0.3,0.3333333333333333,0.43333333333333335,0.6,0.7,0.65,0.6333333333333333,0.55,-0.19999999999999996,-0.49999999999999994,-0.35000000000000003,-0.3,-0.1166666666666667,0.4289698345296527,0.2655568649547724,0.3585765612300703,0.34324930814791743,0.5120824963381867,0.5710301654703474,0.7344431350452276,0.6414234387699297,0.6567506918520826,0.4879175036618133,-0.1420603309406946,-0.46888627009045525,-0.2828468775398594,-0.31350138370416514,0.024164992676373398,1,6,11,-0.027426921688921024,0
