Date,adjopen,adjhigh,adjlow,adjclose,amount,amp,body,label_ensemble_soft,label_micro_raw,ssm3_p,ssm3_q_bear,ssm3_q_bull,ssm3_pred,ssm3_true,ssm3_pred_inertial,ssm3_true_micro
1999-01-05,11.5,11.5,11.25,11.25,3375.0,0.0217391304348676,-0.999999999996,0.3617332,0.5781509,,,,,,,
1999-01-06,11.25,11.5,11.25,11.25,63000.0,0.0222222222223091,0.0,0.36173123,0.5781509,,,,,,,
1999-01-07,11.25,11.5,11.0,11.0,42900.0,0.0444444444445293,-0.499999999999,0.36172423,0.5781509,,,,,,,
1999-01-08,11.0,11.0,11.0,11.0,12100.0,9.090909090908265e-14,0.0,0.36170167,0.5781509,,,,,,,
1999-01-11,11.0,11.0,11.0,11.0,34100.0,9.090909090908265e-14,0.0,0.3616369,0.5781509,,,,,,,
1999-01-13,11.75,11.75,11.75,11.75,18800.0,8.510638297871618e-14,0.0,0.3614703,0.5781509,,,,,,,
1999-01-14,11.0,11.8125,11.0,11.8125,112218.75,0.0738636363637205,0.9999999999987692,0.36108702,0.5781509,,,,,,,
1999-01-15,11.0,11.875,11.0,11.4375,41175.0,0.0795454545455382,0.4999999999994285,0.36029783,0.5781509,,,,,,,
1999-01-19,11.125,11.875,11.125,11.875,23750.0,0.0674157303371624,0.9999999999986668,0.3588437,0.5781509,,,,,,,
1999-01-20,11.625,11.625,11.625,11.625,4650.0,8.602150537633669e-14,0.0,0.35644633,0.5781509,,,,,,,
1999-01-21,11.5,11.5,11.375,11.375,349212.5,0.0108695652174773,-0.999999999992,0.35290936,0.5781509,,,,,,,
1999-01-22,11.0,11.875,11.0,11.875,14250.0,0.0795454545455382,0.9999999999988572,0.34823987,0.5781509,,,,,,,
1999-01-25,11.625,11.625,11.5,11.5,411700.0,0.0107526881721281,-0.999999999992,0.34272352,0.5781509,,,,,,,
1999-01-26,11.875,11.875,11.875,11.875,2375.0,8.421052631578239e-14,0.0,0.336892,0.16410567,,,,,,,
1999-01-27,11.875,11.875,11.375,11.375,9100.0,0.0421052631579754,-0.999999999998,0.33137566,0.16410567,,,,,,,
1999-01-28,11.875,11.875,11.5,11.5,14950.0,0.0315789473685026,-0.9999999999973334,0.32670617,0.16410567,,,,,,,
1999-01-29,11.5,11.875,10.5,11.0,185900.0,0.1195652173913809,-0.3636363636360991,0.3231692,0.16410567,,,,,,,
1999-02-01,10.5,11.0,10.375,11.0,17600.0,0.059523809523899,0.7999999999987201,0.3207718,0.16410567,,,,,,,
1999-02-02,11.5,11.875,11.1875,11.1875,20137.5,0.0597826086957339,-0.4545454545447934,0.3193177,0.16410567,,,,,,,
1999-02-03,11.875,11.875,11.0,11.125,6720612.5,0.0736842105263937,-0.8571428571418775,0.3185285,0.6864371,,,,,,,
1999-02-04,11.4375,11.875,11.4375,11.5,36800.0,0.0382513661203026,0.1428571428568163,0.31814522,0.6864371,0.50582147,0.012827873,0.014555463,1.0,0.0,1.0,0.6864371
1999-02-05,11.5,11.5,11.5,11.5,3450.0,8.69565217391229e-14,0.0,0.31797862,0.6864371,0.5082541,0.010719248,0.013080402,1.0,0.0,1.0,0.6864371
1999-02-08,11.625,11.875,11.625,11.875,14250.0,0.0215053763441701,0.999999999996,0.31791386,0.6864371,0.5380915,0.010544891,0.012781491,1.0,0.0,1.0,0.6864371
1999-02-09,11.875,11.875,11.0,11.0,15400.0,0.0736842105263937,-0.9999999999988572,0.3178913,0.6864371,0.49680075,0.010475915,0.012456121,0.0,0.0,1.0,0.6864371
1999-02-10,11.875,11.875,11.5,11.875,16625.0,0.0315789473685026,0.0,0.3178843,0.6864371,0.5216772,0.010381796,0.012635385,1.0,0.0,1.0,0.6864371
1999-02-11,11.0,11.1875,11.0,11.1875,24612.5,0.0170454545455439,0.9999999999946666,0.31788233,0.6864371,0.49210206,0.010279686,0.012451588,0.0,0.0,1.0,0.6864371
1999-02-12,10.625,11.875,10.625,11.875,144875.0,0.1176470588236124,0.9999999999992,0.31788233,0.40673834,0.51362145,0.010343097,0.012550072,1.0,0.0,1.0,0.40673834
1999-02-17,11.4375,11.4375,11.4375,11.4375,6862.5,8.743169398906343e-14,0.0,0.31788233,0.40673834,0.50704885,0.010310091,0.0124460785,1.0,0.0,1.0,0.40673834
1999-02-18,11.0,11.5625,11.0,11.5,443900.0,0.0511363636364499,0.8888888888873087,0.31788474,0.40673834,0.5090478,0.010331662,0.012471967,1.0,0.0,1.0,0.40673834
1999-02-19,11.4375,11.4375,11.4375,11.4375,112087.5,8.743169398906343e-14,0.0,0.31789342,0.40673834,0.5026388,0.010245371,0.012494629,1.0,0.0,1.0,0.40673834
1999-02-22,11.0,11.0,11.0,11.0,25300.0,9.090909090908265e-14,0.0,0.31792122,0.40673834,0.45523164,0.010159904,0.012451588,0.0,0.0,1.0,0.40673834
1999-02-23,11.5,11.5,11.125,11.125,20025.0,0.032608695652258,-0.9999999999973334,0.31800115,0.40673834,0.4363491,0.010142463,0.012525425,0.0,0.0,1.0,0.40673834
1999-02-24,11.0,11.5,11.0,11.5,6900.0,0.0454545454546322,0.999999999998,0.31820673,0.40673834,0.45356306,0.010147272,0.0125656575,0.0,0.0,1.0,0.40673834
1999-02-25,11.625,11.875,11.625,11.875,11875.0,0.0215053763441701,0.999999999996,0.3186797,0.40673834,0.49456593,0.010232305,0.012567942,0.0,0.0,1.0,0.40673834
1999-02-26,11.0,11.0,11.0,11.0,6600.0,9.090909090908265e-14,0.0,0.31965354,0.40673834,0.4626071,0.010224952,0.012425003,0.0,0.0,1.0,0.40673834
1999-03-02,11.6563,11.6563,11.4375,11.5,132250.0,0.0187709650576067,-0.7143510054811957,0.32144785,0.40673834,0.46657917,0.010279939,0.012521569,0.0,0.0,1.0,0.40673834
1999-03-05,11.5,11.5,11.375,11.375,14787.5,0.0108695652174773,-0.999999999992,0.32440117,0.40673834,0.4552974,0.010246894,0.012480399,0.0,0.0,1.0,0.40673834
1999-03-08,11.5,11.875,11.375,11.375,23887.5,0.0434782608696483,-0.2499999999995,0.32874784,0.40673834,0.45532337,0.010190126,0.012549163,0.0,0.0,1.0,0.40673834
1999-03-12,11.875,11.875,11.5,11.875,39187.5,0.0315789473685026,0.0,0.3344525,0.40673834,0.48434475,0.010212501,0.012578995,0.0,0.0,1.0,0.40673834
1999-03-15,11.5,11.5,11.5,11.5,12650.0,8.69565217391229e-14,0.0,0.34109485,0.40673834,0.48315698,0.010205129,0.012477337,0.0,0.0,1.0,0.40673834
1999-03-16,11.5,11.5,11.375,11.375,96687.5,0.0108695652174773,-0.999999999992,0.34786737,0.500458,0.47112602,0.01020585,0.012495417,0.0,0.0,1.0,0.500458
1999-03-17,11.375,12.0,11.375,11.6563,164353.83,0.054945054945138,0.4500799999992797,0.35370028,0.500458,0.48176932,0.010216034,0.01251548,0.0,0.0,1.0,0.500458
1999-03-19,11.6875,11.6875,11.375,11.6875,36231.25,0.0267379679145217,0.0,0.35745662,0.500458,0.49712896,0.010212442,0.012489041,0.0,0.0,1.0,0.500458
1999-03-22,12.0,12.0,12.0,12.0,1200.0,8.333333333332638e-14,0.0,0.3581258,0.500458,0.5356245,0.010135419,0.012582016,1.0,0.0,1.0,0.500458
1999-03-23,11.6875,11.6875,11.625,11.625,95325.0,0.0053475935829728,-0.999999999984,0.35499156,0.500458,0.53319806,0.010304449,0.012457147,1.0,0.0,1.0,0.500458
1999-03-24,11.75,11.75,11.75,11.75,4700.0,8.510638297871618e-14,0.0,0.34779727,0.500458,0.5211631,0.010150255,0.012488488,1.0,0.0,1.0,0.500458
1999-03-25,11.375,12.0,11.375,11.75,45825.0,0.054945054945138,0.59999999999904,0.33690447,0.500458,0.5145846,0.010197666,0.012474553,1.0,0.0,1.0,0.500458
1999-03-26,11.375,11.375,11.375,11.375,2275.0,8.791208791208023e-14,0.0,0.32335865,0.500458,0.4812933,0.010091368,0.012498013,0.0,0.0,1.0,0.500458
1999-03-30,11.375,12.0,11.375,11.625,225525.0,0.054945054945138,0.39999999999936,0.30874452,0.060050618,0.4720255,0.010184958,0.012509476,0.0,0.0,1.0,0.060050618
1999-03-31,11.375,11.375,11.375,11.375,303712.5,8.791208791208023e-14,0.0,0.29480568,0.060050618,0.44184586,0.010158072,0.012443698,0.0,0.0,1.0,0.060050618
1999-04-01,11.875,11.875,11.0,11.0,55000.0,0.0736842105263937,-0.9999999999988572,0.28296682,0.060050618,0.38278246,0.010097676,0.012440469,0.0,0.0,1.0,0.060050618
1999-04-05,10.875,10.875,8.125,10.5,305550.0,0.2528735632184595,-0.1363636363635867,0.2739869,0.060050618,0.30061227,0.010087206,0.012452972,0.0,0.0,1.0,0.060050618
1999-04-06,10.5,12.375,10.5,10.625,60562.5,0.1785714285715068,0.0666666666666311,0.26789677,0.060050618,0.26065445,0.010071249,0.012509275,0.0,0.0,0.0,0.060050618
1999-04-08,10.625,10.625,10.5,10.5,10500.0,0.0117647058824459,-0.999999999992,0.26420653,0.060050618,0.23486339,0.01003031,0.012589589,0.0,0.0,0.0,0.060050618
1999-04-09,10.5,10.5,10.5,10.5,1050.0,9.523809523808616e-14,0.0,0.2622191,0.476296,0.22324234,0.010037195,0.012669023,0.0,0.0,0.0,0.476296
