,CMCSA.O,AMGN.O,INTU.O,CSGP.O,CPRT.O,AMAT.O,ODFL.O,COST.O,AEP.O,MNST.O,EXC.O,BIIB.O,CSX.O,FAST.O,INTC.O,CSCO.O,MCHP.O,MAR.O,KLAC.O,CCEP.O,HON.O,ASML.O,CTAS.O,ADP.O,AZN.O,MSFT.O,BKNG.O,ADI.O,AMD.O,IDXX.O,CDNS.O,ADBE.O,EA.O,CTSH.O,ADSK.O,AMZN.O,GILD.O,AAPL.O,LRCX.O
2024-04-01,0.10267744962910202,0.0,1.9571171033688534e-11,0.10748503166941407,0.4868650781764145,6.578408625567387e-12,1.940110235754632e-11,6.1148307410594286e-12,0.0,0.0,0.12643964540909766,1.2178856462883203e-11,1.5607320959810922e-11,0.0,2.7033725619368448e-11,0.0,1.98782808510356e-11,0.0,2.117606434544068e-11,0.0,0.0,2.6971487623002398e-11,1.2620899958739012e-10,0.0,0.09237797686545712,0.0,0.0841548180524406,2.5299700194254902e-11,1.5844834225261346e-11,0.0,2.67597580277609e-13,8.535540946730171e-13,3.1876018489045165e-12,0.0,1.4193225151655422e-11,0.0,0.0,0.0,5.452685018286156e-12
2024-04-02,0.1031131795431388,0.0,1.932087501950751e-11,0.10680664603523479,0.4838716702920404,6.5496211095892766e-12,1.9419011577436733e-11,6.0793248471543876e-12,0.0,0.0,0.12866040524018185,1.1866441702263137e-11,1.5618034427905186e-11,0.0,2.6897301100738263e-11,0.0,1.9646021766904638e-11,0.0,2.0838311298361517e-11,0.0,0.0,2.6471078623042143e-11,1.2633224130105945e-10,0.0,0.09277882475062059,0.0,0.08476927377546084,2.527859082059781e-11,1.5568720840839105e-11,0.0,2.647747927266851e-13,8.555209735043673e-13,3.1847012102473386e-12,0.0,1.3716247410102902e-11,0.0,0.0,0.0,5.4158218434835585e-12
2024-04-03,0.10236133227736223,0.0,1.9198679818752042e-11,0.10697185532137754,0.4845956843639473,6.586034046384669e-12,1.9700421898894365e-11,6.027767498956427e-12,0.0,0.0,0.12731741042670397,1.1787374595452976e-11,1.5570210063486657e-11,0.0,2.4672710424665367e-11,0.0,1.966996997111773e-11,0.0,2.0933880302714144e-11,0.0,0.0,2.6826321562926943e-11,1.2683770739889782e-10,0.0,0.09246034794976797,0.0,0.08629336929859936,2.532568630767805e-11,1.573963744893259e-11,0.0,2.6826131490425605e-13,8.512409328934818e-13,3.191706441885484e-12,0.0,1.3579616368831521e-11,0.0,0.0,0.0,5.474353367735523e-12
2024-04-04,0.1032304310483495,0.0,1.9505494174556928e-11,0.10716141071353706,0.47967592528238606,6.580713186813681e-12,1.9908158268249233e-11,6.134002981914133e-12,0.0,0.0,0.1297450389640504,1.1946060006784258e-11,1.5732166618317434e-11,0.0,2.476244192352828e-11,0.0,1.961220254954163e-11,0.0,2.0569645993239158e-11,0.0,0.0,2.658161615781691e-11,1.2649179262926617e-10,0.0,0.09494529081871875,0.0,0.0852419028116022,2.5351283878760616e-11,1.4710171381479868e-11,0.0,2.696950451635464e-13,8.499642956938944e-13,3.1790599484749293e-12,0.0,1.374666880395623e-11,0.0,0.0,0.0,5.424804481846769e-12
2024-04-05,0.10144681480082778,0.0,1.9715326141227432e-11,0.10924020265846254,0.4806936781873169,6.642755064859863e-12,2.0251708129723645e-11,6.134956745234126e-12,0.0,0.0,0.12857115618310494,1.1717741397721054e-11,1.561716736196961e-11,0.0,2.3831584584580572e-11,0.0,1.9666501496280697e-11,0.0,2.062276573568636e-11,0.0,0.0,2.697634656314206e-11,1.2667058350573639e-10,0.0,0.09393709267137455,0.0,0.08611105513743546,2.5407764277956074e-11,1.4932414490692087e-11,0.0,2.6773465497738805e-13,8.361374212854061e-13,3.1578660635394275e-12,0.0,1.3574633561924874e-11,0.0,0.0,0.0,5.453889146266452e-12
2024-04-08,1.1367014073095057e-12,3.4105368720613056e-13,0.0,0.23541847605655605,1.0149914042684589e-12,0.0,0.0,0.0,1.979377782181351e-12,9.354263144854616e-14,2.3685332925041875e-12,0.0,0.0,1.3931425510864729e-13,0.0,1.150753538888899e-12,0.0,7.583324436478272e-13,0.0,1.358173414284015e-12,6.126430664906525e-13,0.0,0.0,9.473510138441103e-13,0.2700115033342665,0.19073645559161725,7.798606209519975e-13,0.0,0.0,0.0,1.1731447090654557e-12,0.0,8.290135972168677e-13,4.612691009602502e-13,0.0,0.3038335650513975,0.0,1.4364462246091097e-12,0.0
2024-04-09,1.1121110967293034e-12,3.397875489085659e-13,0.0,0.2371817821688476,1.0142197464463908e-12,0.0,0.0,0.0,1.982442080585229e-12,9.296224757054289e-14,2.3552129165468774e-12,0.0,0.0,1.3821975204206318e-13,0.0,1.1834480648453114e-12,0.0,7.53043573022664e-13,0.0,1.3406711509842373e-12,6.097473981071067e-13,0.0,0.0,9.526253230167251e-13,0.2706640137968436,0.18996615521096533,7.694018517707602e-13,0.0,0.0,0.0,1.1649718172869003e-12,0.0,8.267572056187784e-13,4.608046166743409e-13,0.0,0.30218804880681155,0.0,1.4352935923318856e-12,0.0
2024-04-10,1.1164668655747198e-12,3.398245274736841e-13,0.0,0.22801139732367923,1.0172324399335634e-12,0.0,0.0,0.0,1.9694268876098e-12,9.274607081495665e-14,2.3294472949928726e-12,0.0,0.0,1.381196284459071e-13,0.0,1.181733884748449e-12,0.0,7.624086957213045e-13,0.0,1.3390426657760428e-12,6.101550711411626e-13,0.0,0.0,9.503923362655607e-13,0.27346124201917127,0.19140905437990782,7.817910606353543e-13,0.0,0.0,0.0,1.1563052028032777e-12,0.0,8.300574079837848e-13,4.572274942781941e-13,0.0,0.30711830626072895,0.0,1.4402896852432095e-12,0.0
2024-04-11,1.1083283373779663e-12,3.3826513050674954e-13,0.0,0.22926850163311094,9.987161582483739e-13,0.0,0.0,0.0,1.9257876009442738e-12,9.097365347165977e-14,2.2814509312515684e-12,0.0,0.0,1.268556089743974e-13,0.0,1.1683934719583004e-12,0.0,7.612987408546295e-13,0.0,1.3245426465272856e-12,6.031070213100439e-13,0.0,0.0,9.283888717729396e-13,0.2739123551454725,0.19010014763896324,7.790517668985733e-13,0.0,0.0,0.0,1.1564132933982857e-12,0.0,8.146280415050966e-13,4.5299671390541354e-13,0.0,0.30671899556611826,0.0,1.4760512448075683e-12,0.0
2024-04-12,1.104205384797944e-12,3.401365535088863e-13,0.0,0.22673401625673864,1.0032296927992787e-12,0.0,0.0,0.0,1.9370373949890163e-12,9.288064224590635e-14,2.2972672447710266e-12,0.0,0.0,1.2990658089637097e-13,0.0,1.1618935872378674e-12,0.0,7.508989043854466e-13,0.0,1.342451814799758e-12,6.104058298889076e-13,0.0,0.0,9.408260266433076e-13,0.2761474436788801,0.19037618629928696,7.682607050583094e-13,0.0,0.0,0.0,1.1585457030387832e-12,0.0,8.192077258673844e-13,4.5159673999696903e-13,0.0,0.30674235374867337,0.0,1.5122556974648447e-12,0.0
