,000001.SZ,000002.SZ,000063.SZ,000408.SZ,000425.SZ,000538.SZ,000568.SZ,000596.SZ,000617.SZ,000625.SZ,000651.SZ,000661.SZ,000708.SZ,000733.SZ,000768.SZ,000776.SZ,000786.SZ,000800.SZ,000807.SZ,000858.SZ,000876.SZ,000895.SZ,000938.SZ,600000.SH,600009.SH,600061.SH,600085.SH,600089.SH,600104.SH,600111.SH,600115.SH,600132.SH,600150.SH,600161.SH,600176.SH,600183.SH,600188.SH,600196.SH,600219.SH,600600.SH,600660.SH,600674.SH,600690.SH,600741.SH,600760.SH,600795.SH,600803.SH,600809.SH,600875.SH,600886.SH,600887.SH,600893.SH,601607.SH
2024-04-01,1.6695953190813068e-11,0.0,8.604706276913294e-12,0.0,0.018315776829052857,3.288191504350346e-11,2.6038302336980887e-11,0.13926658474811077,0.0,0.0,5.740051705439564e-11,0.0,0.012030399917665642,3.6095713374547954e-11,0.0,0.0,0.11652974068720218,0.0,0.11651807415825452,0.14300445847069804,0.0,0.0,0.0,3.068853020734325e-11,0.024841913306583644,0.0,3.437591462624196e-11,7.339913535495213e-11,7.049030209831934e-12,0.0,6.1655527866940095e-12,0.0,3.350468281749721e-12,0.0056065810143357386,0.0,0.0,0.0,0.0,3.829502779073764e-11,1.3024444922495504e-11,6.0675662442238644e-12,0.2671597794163438,3.6322331286306964e-11,9.33824061576071e-12,0.0,0.0,0.15672669465071576,2.6535839415023263e-11,1.1435526581917432e-11,0.0,0.0,0.0,0.0
2024-04-02,1.6549695691627035e-11,0.0,8.473792795715093e-12,0.0,0.018254550789064645,3.247672895360585e-11,2.597869304824026e-11,0.1380856099960273,0.0,0.0,5.7197129509136256e-11,0.0,0.012252448871044479,3.544786211817301e-11,0.0,0.0,0.11891298866896974,0.0,0.11747257274115774,0.14134304058011482,0.0,0.0,0.0,3.084893668029261e-11,0.024895345925420573,0.0,3.3576206239825486e-11,7.285809313809646e-11,7.0561184649434155e-12,0.0,6.097197532617648e-12,0.0,3.3485559165209775e-12,0.005558866572629384,0.0,0.0,0.0,0.0,3.883820465889921e-11,1.2712901952715796e-11,5.962821118396333e-12,0.26513028093546925,3.679317362516323e-11,9.398908393869753e-12,0.0,0.0,0.1580942944485953,2.6712649577275392e-11,1.1179307627171568e-11,0.0,0.0,0.0,0.0
2024-04-03,1.6359106911351232e-11,0.0,8.28990977634689e-12,0.0,0.018005385537005335,3.310234724340917e-11,2.611747135133451e-11,0.137773025046227,0.0,0.0,5.7566778216708566e-11,0.0,0.0122717977215348,3.413670132229766e-11,0.0,0.0,0.11756665074138406,0.0,0.1245210227453755,0.14010184843901055,0.0,0.0,0.0,3.0586824100976286e-11,0.024813631497952866,0.0,3.382756121026348e-11,7.306184920626823e-11,7.062477982808927e-12,0.0,5.962877128421484e-12,0.0,3.3705724402662338e-12,0.0056317866128603455,0.0,0.0,0.0,0.0,3.971707642544233e-11,1.2641764993508029e-11,5.958365446930508e-12,0.263522595269959,3.723347131437498e-11,9.175386100351757e-12,0.0,0.0,0.15579225591692938,2.656728470175586e-11,1.1023236639281442e-11,0.0,0.0,0.0,0.0
2024-04-08,1.6360388236142717e-11,0.0,8.198334327317096e-12,0.0,0.018559445010676016,3.3167770765406447e-11,2.452559811774929e-11,0.13132805444971307,0.0,0.0,5.659272590987261e-11,0.0,0.012396731609935586,3.2333647203923536e-11,0.0,0.0,0.1183105328399307,0.0,0.12142446902599284,0.13387177834818426,0.0,0.0,0.0,3.088937361500549e-11,0.024541409914221553,0.0,3.3516473595779095e-11,7.186310275952475e-11,7.06488546055133e-12,0.0,5.864192531910543e-12,0.0,3.452078250209543e-12,0.005489493548095868,0.0,0.0,0.0,0.0,3.950156532787724e-11,1.2231901132493692e-11,6.0788656130273234e-12,0.2725809984485674,3.74001783928634e-11,9.27129263214549e-12,0.0,0.0,0.16149708633940316,2.590422646829552e-11,1.1063037189133797e-11,0.0,0.0,0.0,0.0
2024-04-09,1.6489130269742846e-11,0.0,8.342258175082031e-12,0.0,0.018534449155980345,3.3426985871310206e-11,2.4499791002456095e-11,0.1342498685836121,0.0,0.0,5.5077561612039704e-11,0.0,0.012180002474174537,3.253610309118062e-11,0.0,0.0,0.11914467349640805,0.0,0.11898086694553088,0.13457031542451536,0.0,0.0,0.0,3.1136478280825696e-11,0.024655199580875944,0.0,3.4525808774739436e-11,6.915819020212784e-11,7.136355691100108e-12,0.0,5.994581403757133e-12,0.0,3.38442157250381e-12,0.005593040723351215,0.0,0.0,0.0,0.0,3.9815104611292336e-11,1.2443020376072815e-11,6.0417405350440236e-12,0.2728929055697258,3.744510299441574e-11,9.307018561510274e-12,0.0,0.0,0.15919867758156603,2.606978489615378e-11,1.1430424718030318e-11,0.0,0.0,0.0,0.0
2024-04-10,2.7523164458341e-12,1.2134729100096768e-12,9.066651935130009e-12,0.0,1.2124248528640165e-12,0.0,0.0,0.15118119753414627,6.0629708754425025e-12,0.0,0.0,0.0,0.0,1.088850413365931e-11,3.584709960414878e-12,1.89000720407159e-12,0.22066759226983446,7.482701897659313e-12,0.022282085259105668,3.3868816771531943e-13,2.0385896442228465e-13,1.0947352588761383e-11,1.4335938950784176e-11,0.0,0.0,3.709626008011755e-12,0.0,9.419394784704989e-13,3.185898978175636e-14,0.02246771733195894,3.4035914160843764e-12,2.586177320795202e-12,2.4133876257805656e-12,0.0,5.586835614435516e-12,1.3932480122319379e-11,0.0,3.769454578791815e-12,0.1358369216345081,0.0,1.920024375761058e-12,0.09805934974467445,0.0,2.391155696061398e-12,0.0,0.0,0.0,0.0,4.114084876151519e-12,0.34950513641821224,0.0,0.0,2.7539821928586735e-12
2024-04-11,2.724088392430248e-12,1.182295132492406e-12,9.091660747332834e-12,0.0,1.2509392820795231e-12,0.0,0.0,0.15123316307416154,6.073371401071233e-12,0.0,0.0,0.0,0.0,1.0739355719486308e-11,3.547805647575025e-12,1.8660265607365942e-12,0.21941867953054803,7.571584543516317e-12,0.022287165805223278,3.343634080230445e-13,1.9765274559129108e-13,1.0940047749253135e-11,1.4534141991506807e-11,0.0,0.0,3.688352433523327e-12,0.0,9.585132140944768e-13,3.1603829840595594e-14,0.021989920898221865,3.3501579676676158e-12,2.5836204609913156e-12,2.427825091766626e-12,0.0,5.53024402979597e-12,1.3716374688521565e-11,0.0,3.722242888504233e-12,0.13635224172769314,0.0,1.9265078423484537e-12,0.09751100167991517,0.0,2.383118101210838e-12,0.0,0.0,0.0,0.0,4.319863199897496e-12,0.3512078271668081,0.0,0.0,2.7369767862074936e-12
2024-04-12,2.689789914362527e-12,1.135100513787522e-12,9.215098178764224e-12,0.0,1.235539199694712e-12,0.0,0.0,0.1492203001145185,6.0216104422308835e-12,0.0,0.0,0.0,0.0,1.0853022923722645e-11,3.539304507590323e-12,1.8440400437544935e-12,0.2195404117327822,7.626004132829974e-12,0.022824249295708744,3.3201691050509044e-13,1.9346993717262295e-13,1.1002226601944172e-11,1.4563984992976935e-11,0.0,0.0,3.6258116159122804e-12,0.0,9.452699298855737e-13,3.127472865765032e-14,0.021862991510281964,3.284781116277899e-12,2.5163942442335224e-12,2.415323150376188e-12,0.0,5.444375190215315e-12,1.4353203680734568e-11,0.0,3.6811267775942515e-12,0.13679721984847487,0.0,1.9334260604245456e-12,0.09868290667799959,0.0,2.381067624961215e-12,0.0,0.0,0.0,0.0,4.385612329036759e-12,0.35107192070224175,0.0,0.0,2.7437120965838384e-12
2024-04-15,2.688034678322732e-12,1.115252701568595e-12,9.414002145528791e-12,0.0,1.26412324937055e-12,0.0,0.0,0.15184265244780226,6.240052646966713e-12,0.0,0.0,0.0,0.0,1.1603032283835472e-11,3.5665365281698315e-12,1.822859724410857e-12,0.22090813119704486,7.533915191280707e-12,0.023205994302574844,3.401540222395634e-13,1.8712984192492692e-13,1.0773291251588698e-11,1.4449498515907118e-11,0.0,0.0,3.690550265266826e-12,0.0,9.36374296188965e-13,3.0942258728967117e-14,0.02148745093299825,3.2464211822442678e-12,2.522190815105397e-12,2.5053831154009973e-12,0.0,5.770504678415214e-12,1.3971697415232677e-11,0.0,3.620422824341158e-12,0.1336522853112863,0.0,1.9172589644986316e-12,0.09772017505666541,0.0,2.3759950797351356e-12,0.0,0.0,0.0,0.0,4.452369632911661e-12,0.3511833106328131,0.0,0.0,2.776829829096409e-12
2024-04-16,2.7222072298181174e-12,1.1194459307514536e-12,9.339842696566994e-12,0.0,1.2201684099221885e-12,0.0,0.0,0.14871274321467748,6.204930966425447e-12,0.0,0.0,0.0,0.0,1.1349354995840237e-11,3.5315162289239684e-12,1.8306268680751275e-12,0.22400889553993877,7.375501023725713e-12,0.022145520706418384,3.393131206232036e-13,1.87135454205764e-13,1.0953307517577526e-11,1.4157498994988006e-11,0.0,0.0,3.7290937311317396e-12,0.0,9.433454733588014e-13,3.1407358177941087e-14,0.02134163948941736,3.2154921603716414e-12,2.4899295438621868e-12,2.479385166412674e-12,0.0,5.715904650729234e-12,1.3623371353843034e-11,0.0,3.6134287832259456e-12,0.13208613131384886,0.0,1.9482285555860618e-12,0.097504646688062,0.0,2.394933996241361e-12,0.0,0.0,0.0,0.0,4.484606917140618e-12,0.3542004229297898,0.0,0.0,2.847370720155914e-12
2024-04-17,0.0,6.027225270770927e-11,6.522881987671498e-11,0.0,0.0,0.0,3.592400063313636e-11,0.04697341135197848,3.3326913945712077e-11,0.0,0.0,4.583299608008876e-12,0.0,1.6544453907358905e-10,3.998024499421764e-11,0.0,0.013989911092864675,6.60761304859674e-13,7.790415724388e-10,1.2899503942290998e-11,0.05470971546658658,0.0,1.0908225330794522e-10,0.0,1.940776034256037e-11,2.6470385154161947e-11,0.0,2.926376652276637e-11,0.0,0.0,6.066579905026565e-12,1.4652005079507198e-11,0.0,0.0,0.0,3.967201930498688e-11,0.05330529675961556,1.6579211611203137e-11,0.008152745539202859,1.2019144185020617e-11,0.0,0.0,0.4356440797853136,0.0,7.973627273806162e-12,0.0,0.0,0.0,0.0,0.38722483945252245,0.0,2.638558409404122e-11,0.0
2024-04-18,0.0,5.793260017345445e-11,6.396508365118377e-11,0.0,0.0,0.0,3.5893489903969026e-11,0.04653166351299298,3.317212949731113e-11,0.0,0.0,4.516649654638372e-12,0.0,1.6206124546369227e-10,4.0194305331165554e-11,0.0,0.014097032777281488,6.604751346866538e-13,7.629507719617644e-10,1.2767062391019478e-11,0.05457035161912569,0.0,1.0672704799792351e-10,0.0,1.9224769352333827e-11,2.629824427619318e-11,0.0,2.886926635519834e-11,0.0,0.0,6.103576462207838e-12,1.4770998543547116e-11,0.0,0.0,0.0,3.975951382014828e-11,0.05260617837915111,1.6437987643319308e-11,0.008131775696012596,1.1972432209857836e-11,0.0,0.0,0.4418980740091493,0.0,7.830827975992582e-12,0.0,0.0,0.0,0.0,0.38216492252825274,0.0,2.592571421685535e-11,0.0
2024-04-19,0.0,5.625708473649062e-11,6.238176785961519e-11,0.0,0.0,0.0,3.528763266289005e-11,0.04584089002510842,3.3935061038912056e-11,0.0,0.0,4.57882064885244e-12,0.0,1.6195278835310746e-10,4.0864811218339906e-11,0.0,0.014125708945028969,6.571619303418062e-13,7.47423516604443e-10,1.2548244064541865e-11,0.05423456780001308,0.0,1.0322356747113566e-10,0.0,1.8920126184498502e-11,2.6098665234788946e-11,0.0,2.813768946885682e-11,0.0,0.0,5.983315471595018e-12,1.4198131347461096e-11,0.0,0.0,0.0,3.9120174185435114e-11,0.05198381494594545,1.620424894094264e-11,0.00806393887825196,1.170837438700804e-11,0.0,0.0,0.4446688761508334,0.0,7.9366894805763e-12,0.0,0.0,0.0,0.0,0.3810822018013264,0.0,2.6074365491178765e-11,0.0
2024-04-22,0.0,5.6423465210011575e-11,6.14302969214303e-11,0.0,0.0,0.0,3.5955348836665e-11,0.04738386089237244,3.311080034187089e-11,0.0,0.0,4.307386295082677e-12,0.0,1.7388245774592213e-10,4.2084640746906626e-11,0.0,0.014404620016131806,6.434625110850554e-13,7.388794007444929e-10,1.2750584792586834e-11,0.05641751332045094,0.0,1.016278529516006e-10,0.0,1.9255740305412336e-11,2.60055965043327e-11,0.0,2.792686235740257e-11,0.0,0.0,6.1650610473614015e-12,1.4445868215441645e-11,0.0,0.0,0.0,3.8524986750458476e-11,0.049755610874502934,1.6442778111253978e-11,0.007942353962719308,1.207439500964816e-11,0.0,0.0,0.4427653762317131,0.0,8.342651191215134e-12,0.0,0.0,0.0,0.0,0.38133066324477083,0.0,2.7059077296361803e-11,0.0
2024-04-23,0.0,5.584875134138038e-11,6.196022395604856e-11,0.0,0.0,0.0,3.680649448364063e-11,0.048364285226013166,3.4471020141930666e-11,0.0,0.0,4.361046799494698e-12,0.0,1.7183374705750233e-10,4.168081923235878e-11,0.0,0.014008898048408963,6.310533586691599e-13,7.119248162991562e-10,1.307080572505628e-11,0.056251385567053044,0.0,1.0104865854566584e-10,0.0,1.9233589907940855e-11,2.6126444871039322e-11,0.0,2.734991649416094e-11,0.0,0.0,6.230991781959325e-12,1.456661187256414e-11,0.0,0.0,0.0,3.817464180476797e-11,0.049252457537004135,1.6579845494096926e-11,0.007629441970074088,1.2168148773476451e-11,0.0,0.0,0.44453711756747355,0.0,8.353571702463241e-12,0.0,0.0,0.0,0.0,0.379956412653966,0.0,2.7585871611346882e-11,0.0
2024-04-24,2.3919025194676834e-12,0.0,0.0,0.0,0.0,3.252037619947559e-12,0.0,4.454995035689822e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.509550739437783e-12,2.668590494732287e-12,0.0,0.0,0.0,0.04701091507427374,1.2719609982894684e-12,0.0,4.209905168932319e-12,0.0,0.0,2.872777660971922e-12,0.0,3.2398402183226174e-12,0.0,4.74403371075066e-12,3.4449316483475436e-12,0.0,0.13800972590996832,0.0,0.0,0.0,2.3791002258032206e-12,0.0,6.097412481416621e-13,1.9411777958031634e-12,2.4075007966045008e-12,0.5005965225773777,3.644862147080702e-12,3.3196010087012198e-12,4.001667956062905e-12,0.0,2.8857398328135364e-12,0.0,0.31438283653692084,4.044500136733065e-12,1.8015544008812336e-12,3.1353528889873414e-13
2024-04-25,2.3973462721367813e-12,0.0,0.0,0.0,0.0,3.227279823637645e-12,0.0,4.371927171512062e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.492425668163032e-12,2.6599194144121963e-12,0.0,0.0,0.0,0.046558891248549186,1.2638595459794462e-12,0.0,4.2161224666696e-12,0.0,0.0,2.836072641583472e-12,0.0,3.265870632618047e-12,0.0,4.771143594283089e-12,3.390639365830327e-12,0.0,0.1383867829682451,0.0,0.0,0.0,2.382152437205382e-12,0.0,6.049818167794144e-13,1.9083244110253266e-12,2.374994272581798e-12,0.5045187353433038,3.5848751385989018e-12,3.3003415266183245e-12,3.917600464312725e-12,0.0,2.830050315950657e-12,0.0,0.31053559037798273,4.0375183125638405e-12,1.7727221077204201e-12,3.129337443759262e-13
