step,held_p,duration,is_locked,threshold
0,0.5669044852256775,0,True,0.3
1,0.6012420654296875,1,True,0.3
2,0.5813179612159729,2,False,0.3
3,0.553895115852356,3,False,0.3
4,0.546230673789978,4,False,0.3
5,0.5458085536956787,5,False,0.3
6,0.5495011806488037,6,False,0.3
7,0.5311146974563599,7,False,0.3
8,0.5220633745193481,8,False,0.3
9,0.5034166574478149,9,False,0.3
10,0.47686827182769775,10,False,0.3
11,0.517808198928833,1,True,0.3
12,0.4785080552101135,2,False,0.3
13,0.43198162317276,3,False,0.3
14,0.3913167715072632,4,False,0.3
15,0.3675878942012787,5,False,0.3
16,0.37292301654815674,6,False,0.3
17,0.3778454065322876,7,False,0.3
18,0.3779141902923584,8,False,0.3
19,0.39168110489845276,9,False,0.3
20,0.4017902612686157,10,False,0.3
21,0.506198525428772,1,True,0.3
22,0.5034148693084717,2,False,0.3
23,0.504420280456543,3,False,0.3
24,0.5247467160224915,4,False,0.3
25,0.5495620965957642,5,False,0.3
26,0.575344979763031,6,False,0.3
27,0.5880255699157715,7,False,0.3
28,0.6014625430107117,8,False,0.3
29,0.6096570491790771,9,False,0.3
30,0.6137450933456421,10,False,0.3
31,0.6049743890762329,1,True,0.3
32,0.6300123333930969,2,False,0.3
33,0.6441307663917542,3,False,0.3
34,0.6536403894424438,4,False,0.3
35,0.6657422780990601,5,False,0.3
36,0.6690173745155334,6,False,0.3
37,0.6667081713676453,7,False,0.3
38,0.6520963311195374,8,False,0.3
39,0.6372278332710266,9,False,0.3
40,0.6111150979995728,10,False,0.3
41,0.4676227569580078,1,True,0.3
42,0.4488793909549713,2,False,0.3
43,0.4459898769855499,3,False,0.3
44,0.4405234754085541,4,False,0.3
45,0.44165289402008057,5,False,0.3
46,0.4491722285747528,6,False,0.3
47,0.45776742696762085,7,False,0.3
48,0.4679042398929596,8,False,0.3
49,0.46864259243011475,9,False,0.3
50,0.47497332096099854,10,False,0.3
51,0.613412082195282,1,True,0.3
52,0.6282181739807129,2,False,0.3
53,0.6373558640480042,3,False,0.3
54,0.6610346436500549,4,False,0.3
55,0.6823786497116089,5,False,0.3
56,0.6878729462623596,6,False,0.3
57,0.6886847019195557,7,False,0.3
58,0.6793435215950012,8,False,0.3
59,0.6772756576538086,9,False,0.3
60,0.6757941246032715,10,False,0.3
